					
					
Πίνετε αυτό το <L1>τσάι</L1> κρύο, 2-3 φορές τη μέρα πριν από τα γεύματα.	Take 1 teaspoon of pollen, 2 times a day for half an hour before meals.				
FALSE					
					
Τα συμπτώματα ποικίλουν σε ένταση από φούσκωμα και δυσφορία που προέρχεται από την κατανάλωση τροφής και ποτού, έως έντονο - σαν <L1>κράμπα</L1> - κοιλιακό πόνο, που τείνει να εξαπλωθεί σε όλη την κοιλιά.	The symptoms vary in severity from fullness and discomfort induced by the ingestion of food or drink to severe, cramp-like abdominal pain.	επώδυνη σύσπαση κράμπα			
Τα συμπτώματα ποικίλουν σε ένταση από φούσκωμα και δυσφορία που προέρχεται από την κατανάλωση τροφής και ποτού, έως έντονο - σαν <N1>επώδυνη σύσπαση</N1> - κοιλιακό πόνο, που τείνει να εξαπλωθεί σε όλη την κοιλιά.	The symptoms vary in severity from fullness and discomfort induced by the ingestion of food or drink to severe, cramp-like abdominal pain.				
TRUE					
					
Αν την αλέσετε στο μπλέντερ, έχετε μία εντυπωσιακή <L1>βελουτέ</L1> μανιταρόσουπα.	Purée in a blender to get an irresistible velvety mushroom soup.	βελουτέ φέλπα μαλακό			
Αν την αλέσετε στο μπλέντερ, έχετε μία εντυπωσιακή <N1></N1> μανιταρόσουπα.	Purée in a blender to get an irresistible velvety mushroom soup.				
FALSE					
					
Για παράδειγμα: Αυτός είναι ο <L1>σερβιτόρος</L1> και ξέρω τι να κάνω .	For example:  This is the waiter and I know what to do .				
Για παράδειγμα: Αυτός είναι ο <N1></N1> και ξέρω τι να κάνω .	For example:  This is the waiter and I know what to do .				
FALSE					
					
Αν βήχεις ή φταρνίζεσαι, κάλυψε το στόμα και τη μύτη σου με χάρτινο <L1>μαντήλι</L1> και πέταξέ το στα σκουπίδια	Cover your mouth and nose with your elbow or disposable tissue when you cough or sneeze.				
Αν βήχεις ή φταρνίζεσαι, κάλυψε το στόμα και τη μύτη σου με χάρτινο <N1></N1> και πέταξέ το στα σκουπίδια	Cover your mouth and nose with your elbow or disposable tissue when you cough or sneeze.				
FALSE					
					
Το <L1>μπουρνούζι</L1> είναι η πρώτη αγκαλιά μετά από ένα απολαυστικό μπάνιο.	The bathrobe is the first embrace you will feel after a relaxing bath.				
Το <N1></N1> είναι η πρώτη αγκαλιά μετά από ένα απολαυστικό μπάνιο.	The bathrobe is the first embrace you will feel after a relaxing bath.				
FALSE					
					
Μία ραφιέρα ευέλικτη κι ανθεκτική που ταιριάζει ιδανικά στα μπάνια, το διάδρομο ή στο μπαλκόνι, με χώρο για τα πάντα: από <L1>κασπό</L1> κι εργαλεία, μέχρι σαμπουάν και παπούτσια.	Flexible, durable shelving unit that is great in bathrooms, hallways or on balconies – with space for everything from plant pots and tools to shampoos and shoes.				
Μία ραφιέρα ευέλικτη κι ανθεκτική που ταιριάζει ιδανικά στα μπάνια, το διάδρομο ή στο μπαλκόνι, με χώρο για τα πάντα: από <N1></N1> κι εργαλεία, μέχρι σαμπουάν και παπούτσια.	Flexible, durable shelving unit that is great in bathrooms, hallways or on balconies – with space for everything from plant pots and tools to shampoos and shoes.				
FALSE					
					
Εάν είναι ακίνητο, καλύψτε το αιχμηρό τμήμα με μαλακό κερί, βαμβάκι, <L1>γάζα</L1> ή ακόμη και τσίχλα.	If the appliance cannot be removed, cover the sharp edge with soft wax, cotton, a gauze pad or even a chewing gum.	αποστειρωμένη ταινία γάζα			
Εάν είναι ακίνητο, καλύψτε το αιχμηρό τμήμα με μαλακό κερί, βαμβάκι, <N1>αποστειρωμένη ταινία</N1> ή ακόμη και τσίχλα.	If the appliance cannot be removed, cover the sharp edge with soft wax, cotton, a gauze pad or even a chewing gum.				
TRUE					
					
Στα 25 του, είχε κάνει μουσική για 5 θεατρικά έργα ενώ δούλεψε σαν <L1>πιανίστας</L1> σε διάφορα ξενοδοχεία, μπαρ και εστιατόρια, οπότε αποφάσισε να διαπιστώσει αν η γη ήταν πραγματικά σφαιρική.	At the age of 25, he was making music for 5 plays while he worked as a pianist in various hotels, bars and restaurants, so he decided to see if the earth was really spherical.				
Στα 25 του, είχε κάνει μουσική για 5 θεατρικά έργα ενώ δούλεψε σαν <N1></N1> σε διάφορα ξενοδοχεία, μπαρ και εστιατόρια, οπότε αποφάσισε να διαπιστώσει αν η γη ήταν πραγματικά σφαιρική.	At the age of 25, he was making music for 5 plays while he worked as a pianist in various hotels, bars and restaurants, so he decided to see if the earth was really spherical.				
FALSE					
					
Εκεί κοντά, κάποιος γείτονας τον χαιρετάει κουνώντας το χέρι του, καθώς σκαλίζει ένα μικρό <L1>μποστάνι</L1> από το οποίο θα πάρει αγγούρια, φακές, κουκιά, πράσα, ρεβίθια και κρεμμύδια.	Nearby, a neighbor waves a greeting as he digs in a small garden plot. The ground will yield cucumbers, lentils, beans, leeks, chickpeas, and onions.	χωράφι μποστάνι 			
Εκεί κοντά, κάποιος γείτονας τον χαιρετάει κουνώντας το χέρι του, καθώς σκαλίζει ένα μικρό <N1>χωράφι</N1> από το οποίο θα πάρει αγγούρια, φακές, κουκιά, πράσα, ρεβίθια και κρεμμύδια.	Nearby, a neighbor waves a greeting as he digs in a small garden plot. The ground will yield cucumbers, lentils, beans, leeks, chickpeas, and onions.				
TRUE					
					
Η καθημερινή χρήση της αχιλλέας, μπορεί να προκαλέσει <L1>φωτοευαισθησία</L1> οπότε είναι σημαντικό να χρησιμοποιείται μόνο βραδινές ώρες, καθώς επίσης δεν πρέπει ποτέ να χρησιμοποιείται κατά τη διάρκεια της εγκυμοσύνης εσωτερικά, λόγω πιθανής αποβολής.	Daily use of yarrow can cause photosensitivity so it is important to use it only in the evening, as well as it should never be used internally during pregnancy, due to possible miscarriage.				
Η καθημερινή χρήση της αχιλλέας, μπορεί να προκαλέσει <N1></N1> οπότε είναι σημαντικό να χρησιμοποιείται μόνο βραδινές ώρες, καθώς επίσης δεν πρέπει ποτέ να χρησιμοποιείται κατά τη διάρκεια της εγκυμοσύνης εσωτερικά, λόγω πιθανής αποβολής.	Daily use of yarrow can cause photosensitivity so it is important to use it only in the evening, as well as it should never be used internally during pregnancy, due to possible miscarriage.				
FALSE					
					
Ο πληθυσμός της Ιταλίας επλήγη ιδιαίτερα από την πανδημία του ιού <L1>κορόνα</L1> και η παραγωγική του βάση διακόπηκε.	Italy's population was particularly hit hard by the coronavirus pandemic and its manufacturing base disrupted.				
Ο πληθυσμός της Ιταλίας επλήγη ιδιαίτερα από την πανδημία του ιού <N1></N1> και η παραγωγική του βάση διακόπηκε.	Italy's population was particularly hit hard by the coronavirus pandemic and its manufacturing base disrupted.				
FALSE					
					
ΚΕΡΚΥΡΑΙΚΟ ΚΑΡΝΑΒΑΛΙ Το κερκυραικό <L1>καρναβάλι</L1> γιορτάζεται με ιδιαίτερο χρώμα στην πόλη και την τελευταία Κυριακή παρελαύνουν αποκριάτικα άρματα και συχνά συμμετέχουν γκρούπ απο την Ιταλία,με συνοδεία τοπικών φιλαρμονικών.Ακολουθεί το κάψιμο του καρνάβαλου.	The Corfu Carnival is celebrated with particular zest and at the final Sunday of the carnival a procession of carnival chariots is taking place; groups from Italy often participate escorted by the local philharmonic orchestra.				
ΚΕΡΚΥΡΑΙΚΟ ΚΑΡΝΑΒΑΛΙ Το κερκυραικό <N1></N1> γιορτάζεται με ιδιαίτερο χρώμα στην πόλη και την τελευταία Κυριακή παρελαύνουν αποκριάτικα άρματα και συχνά συμμετέχουν γκρούπ απο την Ιταλία,με συνοδεία τοπικών φιλαρμονικών.Ακολουθεί το κάψιμο του καρνάβαλου.	The Corfu Carnival is celebrated with particular zest and at the final Sunday of the carnival a procession of carnival chariots is taking place; groups from Italy often participate escorted by the local philharmonic orchestra.				
FALSE					
					
Η Ελληνογερμανική Αγωγή μας επισκέφθηκε και βοήθησε στην παρασκευή αρτοσκευασμάτων για το <L1>μπαζάρ</L1> μας.	Ellinogermaniki Agogi visited us and helped in the preparation of pastries for our bazaar.	αγορά μπαζάρ 			
Η Ελληνογερμανική Αγωγή μας επισκέφθηκε και βοήθησε στην παρασκευή αρτοσκευασμάτων για τη <N1>αγορά</N1> μας.	Ellinogermaniki Agogi visited us and helped in the preparation of pastries for our bazaar.				
TRUE					
					
Η ΑΕΛ μετά από 11 αγωνιστικές είναι πρώτη στη βαθμολογία με 11 νίκες σε αντίστοιχους αγώνες στο πρωτάθλημα της Γ' Εθνικής κατηγορίας και αποτελεί το πρώτο <L1>φαβορί</L1> για την άνοδο.	AEL after 11 games is first in the standings with 11 wins in respective matches in the championship of the third national division and is the top favorite for it.	προτιμώμενος φαβορί ευνοούμενος			
Η ΑΕΛ μετά από 11 αγωνιστικές είναι πρώτη στη βαθμολογία με 11 νίκες σε αντίστοιχους αγώνες στο πρωτάθλημα της Γ' Εθνικής κατηγορίας και αποτελεί ο πρώτος <N1>προτιμώμενος</N1> για την άνοδο.	AEL after 11 games is first in the standings with 11 wins in respective matches in the championship of the third national division and is the top favorite for it.				
FALSE					
					
Είναι δίκαιο να πω ότι έχω απογοητευτεί ολοένα και περισσότερο με την τρέχουσα παραγωγή παιχνιδιών σε στυλ <L1>ρετρό</L1> που λειτουργούν...	It's fair to say that I have become increasingly disillusioned with the current crop of retro-styled games that are working their way through the...				
Είναι δίκαιο να πω ότι έχω απογοητευτεί ολοένα και περισσότερο με την τρέχουσα παραγωγή παιχνιδιών σε στυλ <N1></N1> που λειτουργούν...	It's fair to say that I have become increasingly disillusioned with the current crop of retro-styled games that are working their way through the...				
FALSE					
					
Πατάκια Αυτοκινήτου με <L1>μοκέτα</L1> πολυτελείας στην κορυφαία ποιότητα της αγοράς, από πολυαμίδιο, κομμένη στο ακριβές <L2>πατρόν</L2> για κάθε μάρκα και μοντέλο αυτοκινήτου.	Embroidery the brand of the car Car floor mats with carpet, cut to the exact pattern for every make and model of car.				
Πατάκια Αυτοκινήτου με <N1></N1> πολυτελείας στην κορυφαία ποιότητα της αγοράς, από πολυαμίδιο, κομμένη στο ακριβές <N2></N2> για κάθε μάρκα και μοντέλο αυτοκινήτου.	Embroidery the brand of the car Car floor mats with carpet, cut to the exact pattern for every make and model of car.				
FALSE					
					
Το παντοτινό τριαντάφυλλο που κρατάει 4-5 χρόνια σε χρώμα μωβ <L1>λιλά</L1> σε μικρή γυάλα χειροποίητο διακοσμημένο από εμάς για να χαρίσετε στους αγαπημένους σας.	The eternal rose which last 4-5 years, in purple lilac color in small glass, handmade by us to gift it to your favorite people.				
Το παντοτινό τριαντάφυλλο που κρατάει 4-5 χρόνια σε χρώμα μωβ <N1></N1> σε μικρή γυάλα χειροποίητο διακοσμημένο από εμάς για να χαρίσετε στους αγαπημένους σας.	The eternal rose which last 4-5 years, in purple lilac color in small glass, handmade by us to gift it to your favorite people.				
FALSE					
					
Τα παιδιά δέχτηκαν και προετοιμάστηκαν με ενθουσιασμό: Μας ζήτησαν βοήθεια για να φτιάξουν κάρτες στα ελληνικά, γαλλικά, <L1>φαρσί</L1> και αραβικά και με την καθοδήγηση της μαγείρισσας της δομής ετοίμασαν ρυζόγαλο για τους 90 φιλοξενούμενους του γηροκομείου.	The children agreed and prepared themselves with great enthusiasm: With our help they created cards in Greek, French, Farsi and Arabic and under the guidance of the shelter's cook they prepared rice puddings for the 90 guests of the retirement home.				
Τα παιδιά δέχτηκαν και προετοιμάστηκαν με ενθουσιασμό: Μας ζήτησαν βοήθεια για να φτιάξουν κάρτες στα ελληνικά, γαλλικά, <N1></N1> και αραβικά και με την καθοδήγηση της μαγείρισσας της δομής ετοίμασαν ρυζόγαλο για τους 90 φιλοξενούμενους του γηροκομείου.	The children agreed and prepared themselves with great enthusiasm: With our help they created cards in Greek, French, Farsi and Arabic and under the guidance of the shelter's cook they prepared rice puddings for the 90 guests of the retirement home.				
FALSE					
					
Παρουσίαση ενός σεναρίου ασθενούς με <L1>υπερτροφία</L1> προστάτη.	Presentation of a patient with Prostate Hyperplasia.				
Παρουσίαση ενός σεναρίου ασθενούς με <N1></N1> προστάτη.	Presentation of a patient with Prostate Hyperplasia.				
FALSE					
					
Η Μαντεμένια Γάστρα - Κατσαρόλα Εμαγιέ Οβάλ Ατομική Μαύρη Σετ των 2 είναι μαύρο ματ <L1>εμαγιέ</L1> μέσα και έξω όπως και το χείλος και δεν υπάρχει εκτεθειμένο μαντέμι.	Oval Cocottes Set of 2 Black has completely coated in black matte enamel inside and out and also rims are black matte enamel and there is no exposed cast iron.	υαλώδες επίχρισμα εμαγιέ			
Η Μαντεμένια Γάστρα - Κατσαρόλα Εμαγιέ Οβάλ Ατομική Μαύρη Σετ των 2 είναι μαύρο ματ <N1></N1> μέσα και έξω όπως και το χείλος και δεν υπάρχει εκτεθειμένο μαντέμι.	Oval Cocottes Set of 2 Black has completely coated in black matte enamel inside and out and also rims are black matte enamel and there is no exposed cast iron.				
FALSE					
					
Έγινε παρουσίαση της εκπαιδευτικής δραστηριότητας και της μετάδοσης της ελληνικής παιδείας σε ένα <L1>αμάλγαμα</L1> εθνικοτήτων.	A presentation of educational activity and the transmission of Greek education to an amalgam of nationalities was presented.	συνύπαρξη μείξη σύνολο. αμάλγαμα			
Έγινε παρουσίαση της εκπαιδευτικής δραστηριότητας και της μετάδοσης της ελληνικής παιδείας σε μία <N1>συνύπαρξη</N1> εθνικοτήτων.	A presentation of educational activity and the transmission of Greek education to an amalgam of nationalities was presented.				
TRUE					
					
Το <L1>παστέλι</L1> μας (χωρίς συντηρητικά) είναι μία πεντανόστιμη ενεργειακή μπάρα χωρίς λίπος, με διπλάσιες εδώδιμες ίνες από αυτές που χρειάζεται ένας άνθρωπος σε ημερήσια δόση, δίνοντας του όμως όλη την ενέργεια που χρειάζεται ακόμα και στη άθληση, από τους πλούσιους φυτικούς υδατάνθρακες και πρωτεΐνες.	FIG NOUGAT Our nougat (no added preservatives) is a delicious energy bar with zero fat and double the fibers that you would need in a daily basis, giving the consumer the energy needed to exercise from the carbs and proteins it has.				
Το <N1></N1> μας (χωρίς συντηρητικά) είναι μία πεντανόστιμη ενεργειακή μπάρα χωρίς λίπος, με διπλάσιες εδώδιμες ίνες από αυτές που χρειάζεται ένας άνθρωπος σε ημερήσια δόση, δίνοντας του όμως όλη την ενέργεια που χρειάζεται ακόμα και στη άθληση, από τους πλούσιους φυτικούς υδατάνθρακες και πρωτεΐνες.	FIG NOUGAT Our nougat (no added preservatives) is a delicious energy bar with zero fat and double the fibers that you would need in a daily basis, giving the consumer the energy needed to exercise from the carbs and proteins it has.				
FALSE					
					
Η <L1>πέρλα</L1> ξεφεύγει από την συνηθισμένη της χρήση και γίνεται ακόμα πιο μοντέρνα.	Pearl  escapes  from its usual use and becomes even more modern.				
Η <N1></N1> ξεφεύγει από την συνηθισμένη της χρήση και γίνεται ακόμα πιο μοντέρνα.	Pearl  escapes  from its usual use and becomes even more modern.				
FALSE					
					
Τόσο το μάρμαρο, όσο και ο <L1>γρανίτης</L1> εμφανίζουν παρόμοια συμπεριφορά σε σχέση με τη θερμότητα.	Both marble and granite demonstrate similar heat resistance behavior.				
Τόσο το μάρμαρο, όσο και ο <N1></N1> εμφανίζουν παρόμοια συμπεριφορά σε σχέση με τη θερμότητα.	Both marble and granite demonstrate similar heat resistance behavior.				
FALSE					
					
Στην πραγματικότητα, η διατήρηση ενός βέλτιστου μικροκλίματος σε ένα <L1>περβάζι</L1> δεν είναι εύκολο έργο, παρόλο που δεν φαίνεται τόσο με την πρώτη ματιά.	In fact, maintaining an optimal microclimate in a sill is not an easy task, even though it does not seem so at first glance.	περβάζι κατώφλι			
Στην πραγματικότητα, η διατήρηση ενός βέλτιστου μικροκλίματος σε ένα <N1>κατώφλι</N1> δεν είναι εύκολο έργο, παρόλο που δεν φαίνεται τόσο με την πρώτη ματιά.	In fact, maintaining an optimal microclimate in a sill is not an easy task, even though it does not seem so at first glance.				
TRUE					
					
Θέμα: Πανελλαδική <L1>δημοσκόπηση</L1> στο πλαίσιο της κλαδικής έρευνας για το ηλεκτρονικό εμπόριο	Subject: HCC's nationwide survey in the context of the Sector Inquiry on e-commerce				
Θέμα: Πανελλαδική <N1></N1> στο πλαίσιο της κλαδικής έρευνας για το ηλεκτρονικό εμπόριο	Subject: HCC's nationwide survey in the context of the Sector Inquiry on e-commerce				
FALSE					
					
Η συγκεκριμένη τεχνική είναι μόνο για περίπτωση βλάβης του <L1>πεντάλ</L1> του συμπλέκτη και εφόσον δεν μπορείτε να καλέσετε οδική ασφάλεια ή κρίνεται απαραίτητη η συνέχιση της διαδρομής σας παρά τη βλάβη, μέχρι ένα πιο ασφαλές μέρος	This technique is only for clutch pedal failure and if you can not call road safety or it is necessary to continue your journey despite the damage to a more secure place				
Η συγκεκριμένη τεχνική είναι μόνο για περίπτωση βλάβης του <N1></N1> του συμπλέκτη και εφόσον δεν μπορείτε να καλέσετε οδική ασφάλεια ή κρίνεται απαραίτητη η συνέχιση της διαδρομής σας παρά τη βλάβη, μέχρι ένα πιο ασφαλές μέρος	This technique is only for clutch pedal failure and if you can not call road safety or it is necessary to continue your journey despite the damage to a more secure place				
FALSE					
					
(Τα μέλη του γένους, για παράδειγμα, δεν πρέπει να να τρώγουν το <L1>τοτέμ</L1> τους, ούτε να χρησιμοποιούν αντικείμενα κατασκευασμένα από αυτό.) Πίστευαν ότι το ίδιο το ζώο ήταν ο φυσικός βοηθός τους.	(Members of a gens, for example, must not eat their totem, or use articles made from it.) They believed that the animal itself was their natural aid.				
(Τα μέλη του γένους, για παράδειγμα, δεν πρέπει να να τρώγουν το <N1></N1> τους, ούτε να χρησιμοποιούν αντικείμενα κατασκευασμένα από αυτό.) Πίστευαν ότι το ίδιο το ζώο ήταν ο φυσικός βοηθός τους.	(Members of a gens, for example, must not eat their totem, or use articles made from it.) They believed that the animal itself was their natural aid.				
FALSE					
					
Ασημένια σκουλαρίκια με μαύρη <L1>πατίνα</L1> και όνυχα	Silver Earrings with Black Patina and Onyx				
Ασημένια σκουλαρίκια με μαύρη <N1></N1> και όνυχα	Silver Earrings with Black Patina and Onyx				
FALSE					
					
Κτίστηκε μαζί με το ψηλό <L1>καμπαναριό</L1> το 1795 από τον έμπορο Χατζή-Μάνθο Γκίνη.	It was built together with the tall bell tower in 1795 by the merchant Hatzi-Mantos Ginis.	κωδωνοστάσιο καμπαναριό			
Κτίστηκε μαζί με το ψηλό <N1>κωδωνοστάσιο</N1> το 1795 από τον έμπορο Χατζή-Μάνθο Γκίνη.	It was built together with the tall bell tower in 1795 by the merchant Hatzi-Mantos Ginis.				
TRUE					
					
ΙΔΙΟΤΗΤΕΣ ΣΥΜΦΩΝΑ ΜΕ ΤΟ 'ΠΑΛΑΙΟ ΧΕΙΡΟΓΡΑΦΟ': Εξαφανίζει πονοκεφάλους και ζαλάδες, δυναμώνει τον εγκέφαλο και τη μνήμη, αν κάνουμε συχνές εισπνοές, βρέχουμε τη βάση του κρανίου ή με <L1>κομπρέσα</L1> στο κεφάλι.	Pain and Dizziness: If they are frequently breathed in or sniffed, the base of the skull is moistened or a moistened cloth applied to the head, they dispel Pain and Dizziness and strengthen the brain and memory.	επίθεμα κομπρέσα 			
ΙΔΙΟΤΗΤΕΣ ΣΥΜΦΩΝΑ ΜΕ ΤΟ 'ΠΑΛΑΙΟ ΧΕΙΡΟΓΡΑΦΟ': Εξαφανίζει πονοκεφάλους και ζαλάδες, δυναμώνει τον εγκέφαλο και τη μνήμη, αν κάνουμε συχνές εισπνοές, βρέχουμε τη βάση του κρανίου ή με <N1></N1> στο κεφάλι.	Pain and Dizziness: If they are frequently breathed in or sniffed, the base of the skull is moistened or a moistened cloth applied to the head, they dispel Pain and Dizziness and strengthen the brain and memory.				
FALSE					
					
Αυτή είναι μια αναζήτηση πρώτου προσώπου με στοιχεία τρόμου που επίσης αφηγείται την ιστορία μιας νεαρής κοπέλας που εργάζεται ως <L1>νταντά</L1> την παραμονή των Χριστουγέννων.	This is a first-person quest with horror elements that also tells the story of a young girl working as a nanny on Christmas Eve.	τροφός νταντά			
Αυτή είναι μια αναζήτηση πρώτου προσώπου με στοιχεία τρόμου που επίσης αφηγείται την ιστορία μιας νεαρής κοπέλας που εργάζεται ως <N1>τροφός</N1> την παραμονή των Χριστουγέννων.	This is a first-person quest with horror elements that also tells the story of a young girl working as a nanny on Christmas Eve.				
TRUE					
					
Ποίος οικονομικός εγκληματίας <L1>ρε</L1> γαμώτο θα έκανε κάτι το οποίο δε θα του απέφερε κέρδος; Γιατί οικονομικό όφελος αυτή τη στιγμή δεν έχει κανείς στην Ελλάδα.	Who economic criminal would do something that would not result in economic profit? Because now in Greece none is gaining money.				
Ποίος οικονομικός εγκληματίας <N1></N1> γαμώτο θα έκανε κάτι το οποίο δε θα του απέφερε κέρδος; Γιατί οικονομικό όφελος αυτή τη στιγμή δεν έχει κανείς στην Ελλάδα.	Who economic criminal would do something that would not result in economic profit? Because now in Greece none is gaining money.				
FALSE					
					
Το ίδιο ισχύει και αν εμφανίζεται <L1>ψευδώνυμο</L1> εφόσον το ψευδώνυμο δεν αφήνει αμφιβολία ως προς την ταυτότητα του προσώπου.	The same shall apply when the name that appears is a pseudonym, provided that the pseudonym leaves no doubt as to the person's identity.				
Το ίδιο ισχύει και αν εμφανίζεται <N1></N1> εφόσον το ψευδώνυμο δεν αφήνει αμφιβολία ως προς την ταυτότητα του προσώπου.	The same shall apply when the name that appears is a pseudonym, provided that the pseudonym leaves no doubt as to the person's identity.				
FALSE					
					
Μια απροσδόκητη ανατροπή προσφέρει στον Γκρεγκ την πολυπόθητη <L1>ντάμα</L1> και αφήνει τον Ρόουλι να κρατάει το φανάρι.	An unexpected twist gives Greg a partner for the dance and leaves Rowley the odd man out.	ντάμα παιχνίδι ντάμα σύντροφος			
Μια απροσδόκητη ανατροπή προσφέρει στον Γκρεγκ την πολυπόθητη <N1>σύντροφο</N1> και αφήνει τον Ρόουλι να κρατάει το φανάρι.	An unexpected twist gives Greg a partner for the dance and leaves Rowley the odd man out.				
TRUE					
					
Όταν επιλέγετε φυτά για τη <L1>λεοπάρδαλη</L1> δεξαμενή γκέκο σας, φροντίστε να λάβετε υπόψη πώς θα επηρεάσουν τις θερμοκρασίες στη δεξαμενή.	When choosing plants for your leopard gecko tank, be sure to consider how they will affect the temperatures in the tank.				
Όταν επιλέγετε φυτά για τη <N1></N1> δεξαμενή γκέκο σας, φροντίστε να λάβετε υπόψη πώς θα επηρεάσουν τις θερμοκρασίες στη δεξαμενή.	When choosing plants for your leopard gecko tank, be sure to consider how they will affect the temperatures in the tank.				
FALSE					
					
[1] Το εξωτερικό, από ύφασμα <L1>ποπλίνα</L1> (ύφασμα που χρησιμοποιείται για την κατασκευή στολών ιατρικού προσωπικού και χειρουργείων).	(1)The outer part made of poplin fabric (which is generally used to manufacture medical and surgical uniforms).				
[1] Το εξωτερικό, από ύφασμα <N1></N1> (ύφασμα που χρησιμοποιείται για την κατασκευή στολών ιατρικού προσωπικού και χειρουργείων).	(1)The outer part made of poplin fabric (which is generally used to manufacture medical and surgical uniforms).				
FALSE					
					
Στον απόηχο του οικονομικού <L1>κραχ</L1> του 2008, η εμπιστοσύνη είναι το παν.	In the wake of the 2008 financial crash, trust is everything.	κρίση κατάρρευση κραχ			
Στον απόηχο της οικονομικής <N1>κρίσης</N1> του 2008, η εμπιστοσύνη είναι το παν.	In the wake of the 2008 financial crash, trust is everything.				
TRUE					
					
Η κουζίνα ειναι πλήρως εξοπλισμένη με όλα τα μαγειρικά σκεύη καθώς επίσης διαθέτει <L1>καφετιέρα</L1> και βραστηρα.	Kitchenette is fully equipped with all kitchen utensils as well as a coffee maker and kettle.				
Η κουζίνα ειναι πλήρως εξοπλισμένη με όλα τα μαγειρικά σκεύη καθώς επίσης διαθέτει <N1></N1> και βραστηρα.	Kitchenette is fully equipped with all kitchen utensils as well as a coffee maker and kettle.				
FALSE					
					
Τα μεγάλα, <L1>οβάλ</L1> μάτια τους πρέπει να συνδυαστούν σε αρμονία με το τρίχωμα τους για να αναγνωριστούν ως περσικά.	Their large, oval eyes must be paired in harmony with their coat to be recognized as Persian.	ωοειδές οβάλ 			
Τα μεγάλα, <N1>ωοειδές</N1> μάτια τους πρέπει να συνδυαστούν σε αρμονία με το τρίχωμα τους για να αναγνωριστούν ως περσικά.	Their large, oval eyes must be paired in harmony with their coat to be recognized as Persian.				
TRUE					
					
Αλλά ο ουτοπικός <L1>σοσιαλισμός</L1> δεν μπορούσε να υποδείξει την πραγματική λύση.	But utopian socialism could not indicate the real solution.	σοσιαλισμός σοσιαλιστική οικονομία			
Αλλά ο ουτοπικός <N1></N1> δεν μπορούσε να υποδείξει την πραγματική λύση.	But utopian socialism could not indicate the real solution.				
FALSE					
					
Οι πολωμένοι <L1>φιμέ</L1> φακοί σε πρασινωπή απόχρωση έχουν το πλεονέκτημα της μέγιστης μείωσης της ανταύγειας χωρίς να παραμορφώνουν τα χρώματα.	The Polarized Smoke Green Lenses have maximum glare reduction without distorting colors.				
Οι πολωμένοι <N1></N1> φακοί σε πρασινωπή απόχρωση έχουν το πλεονέκτημα της μέγιστης μείωσης της ανταύγειας χωρίς να παραμορφώνουν τα χρώματα.	The Polarized Smoke Green Lenses have maximum glare reduction without distorting colors.				
FALSE					
					
Η πρώτη τους κυκλοφορία ήταν μια <L1>κασέτα</L1> με έξι κομμάτια που έγραψαν και έφτιαξαν μόνοι τους σε 120 αντίτυπα, τα οποία εξαντλήθηκαν.	Their first release was a DIY limited edition 6 track cassette (120 copies released and sold out).				
Η πρώτη τους κυκλοφορία ήταν μια <N1></N1> με έξι κομμάτια που έγραψαν και έφτιαξαν μόνοι τους σε 120 αντίτυπα, τα οποία εξαντλήθηκαν.	Their first release was a DIY limited edition 6 track cassette (120 copies released and sold out).				
FALSE					
					
Αυτή η <L1>πούδρα</L1> σταθεροποίησης έχει σχεδιαστεί ειδικά για να παραμένει αόρατη στο δέρμα με τις πιο προηγμένες αναλύσεις στα σημερινά μέσα.	This setting powder has been specifically designed to appear invisible on the skin under the most cutting-edge resolutions in today's media.	πούδρα σκόνη φαρμακευτική σκόνη			
Αυτή η <N1>σκόνη</N1> σταθεροποίησης έχει σχεδιαστεί ειδικά για να παραμένει αόρατη στο δέρμα με τις πιο προηγμένες αναλύσεις στα σημερινά μέσα.	This setting powder has been specifically designed to appear invisible on the skin under the most cutting-edge resolutions in today's media.				
TRUE					
					
Ο απόλυτος <L1>αλτρουισμός</L1> από το φως ξεχυνόταν... τραβούσε αντιμαχόμενο το σκοτάδι στον απόλυτο εγωισμό.	Absolute altruism poured forth from the light…. The opposing darkness drew away, towards absolute egotism.	αλτρουισμός φιλαλληλία | αλτρουισμός ανιδιοτέλεια			
Η απόλυτη <N1>φιλαλληλία</N1> από το φως ξεχυνόταν... τραβούσε αντιμαχόμενο το σκοτάδι στον απόλυτο εγωισμό.	Absolute altruism poured forth from the light…. The opposing darkness drew away, towards absolute egotism.				
TRUE					
					
Από <L1>μπούτι</L1> ή χεράκι αρνί με οστό, κομμένο σε μερίδες, καρυκευμένο με κρεμμύδι, σκόρδο, μάραθο, άνηθο, λάδι, αλάτι και πιπέρι, με κομμάτια κεφαλογραβιέρας, τυλιγμένο σε λαδόκολλα.	Cook Time: 26 Minutes Yield: 4 servings A flavorful paste of garlic, fennel, rosemary, onion, salt and pepper is spread on both sides of chops before broiling.	μηρός μπούτι			
Από <N1>μηρό</N1> ή χεράκι αρνί με οστό, κομμένο σε μερίδες, καρυκευμένο με κρεμμύδι, σκόρδο, μάραθο, άνηθο, λάδι, αλάτι και πιπέρι, με κομμάτια κεφαλογραβιέρας, τυλιγμένο σε λαδόκολλα.	Cook Time: 26 Minutes Yield: 4 servings A flavorful paste of garlic, fennel, rosemary, onion, salt and pepper is spread on both sides of chops before broiling.				
TRUE					
					
