					
					
Ευρωπαϊκές σπουδές, <L1>διεθνής</L1> πολιτική και διπλωματία	European Studies, International Politics and diplomacy				
TRUE					
					
Πρέπει υα σημειωθεί ότι η Επιτροπή επέβαλε πρόσφατα πρόστιμο <L1>ρεκόρ</L1> από 10 επατ.	After lengthy discussions and consultation of the European Parliament (Resolution of 14.12.1982, OJ C 13/83) the Commission revised its proposal in June 1983 (COM (83) 292 final).		BAD OCR		
Πρέπει υα σημειωθεί ότι η Επιτροπή επέβαλε πρόσφατα πρόστιμο <N1>ρεκόρ</N1> από 10 επατ.	After lengthy discussions and consultation of the European Parliament (Resolution of 14.12.1982, OJ C 13/83) the Commission revised its proposal in June 1983 (COM (83) 292 final).				
TRUE					
					
Η Κοιβότητα εξέτασε τη δυυατότητα ευαρμόυισης τωυ πέυτε πύριωυ φόρωυ παταυάλωσης που αφορούυ τα απόλουθα προϊόυτα: επεξεργασμέυα παπυά, οιυοπυευματώδη, <L1>μπύρα</L1> οίυοι παι ορυκτέλαια.	The Heads of State and Government declared the need 'to devote as much energy to efforts in the field of social policy as to the attempts to establish eco nomic and monetary union' and they called on the Commission to draw up proposals for a programme of social action.	ζύθος μπύρα	BAD OCR		
Η Κοιυότητα εξέτασε τη δυυατότητα ευαρμόυισης τωυ πέυτε πύριωυ φόρωυ παταυάλωσης που αφορούυ τα απόλουθα προϊόυτα: επεξεργασμέυα παπυά, οιυοπυευματώδη, <N1>ζύθος</N1> οίυοι παι ορυκτέλαια.	The Heads of State and Government declared the need 'to devote as much energy to efforts in the field of social policy as to the attempts to establish eco nomic and monetary union' and they called on the Commission to draw up proposals for a programme of social action.				
TRUE					
					
Δευ έγιυε καμία προσπάθεια εφαρμογής συυολιπώυ ευεογειώυ προπειμέυου να προωθηθούν οι επενδύσεις παι <L1>πατ</L1> αυτόυ του τρόπο υα μειωθεί η αυεργία.	Since 1 July 1982, selfemployed workers and their families moving from one Member State to another have been covered by current social insurance provisions. The EP had for a number of years been pressing for this rule to be extended (Community provisions on social security: OJ L 230/83).		BAD OCR		
Δευ έγιυε καμία προσπάθεια εφαρμογής συυολιπώυ ευεογειώυ προπειμέυου να προωθηθούν οι επενδύσεις παι <N1>πατ</N1> αυτόυ του τρόπο υα μειωθεί η αυεργία.	Since 1 July 1982, selfemployed workers and their families moving from one Member State to another have been covered by current social insurance provisions. The EP had for a number of years been pressing for this rule to be extended (Community provisions on social security: OJ L 230/83).				
FALSE					
					
Η τιμή μείωσης πρέπει υα φθάσει το 60% όσου αφορά το <L1>διοξείδιο</L1> του θείου, 40% για τα οξείδια του αζώτου και 40% επίσης για τα σωματίδια σπόυης .	In March 1985 the Community decided gradually to introduce lead-free petrol - having already established limit values for lead in the air (OJ L 378 of 31.12.1982) in 1982 and, in June		BAD OCR		
Η τιμή μείωσης πρέπει υα φθάσει το 60% όσου αφορά το <N1>διοξείδιο</N1> του θείου, 40% για τα οξείδια του αζώτου και 40% επίσης για τα σωματίδια σπόυης .	In March 1985 the Community decided gradually to introduce lead-free petrol - having already established limit values for lead in the air (OJ L 378 of 31.12.1982) in 1982 and, in June				
FALSE					
					
Η κατάργηση του μόλυβδου στη βευζίυη έχει διττό στόχο: υα απαλλαγούυ τα παυσαέρια παι συυεπώς η <L1>ατμόσφαιρα</L1> από το μόλυβδο που περιέχεται στη βευζίυη παι υα επιτραπεί στα αυτοκίυητα υα εφοδιαστούυ με εξάτμιση καταλυτική της οξείδωσης και της μείωσης τωυ καυσαερίωυ.	The purpose of eliminating lead from petrol is twofold, namely to remove the lead contained in petrol from exhaust gases and hence from the atmosphere and to allow motor vehicles to be fitted with a catalytic oxidation and reduction exhaust system.	αίσθηση ατμόσφαιρα αύρα νότα	BAD OCR		
Η κατάργηση του μόλυβδου στη βευζίυη έχει διττό στόχο: υα απαλλαγούυ τα παυσαέρια παι συυεπώς η <N1>ατμόσφαιρα</N1> από το μόλυβδο που περιέχεται στη βευζίυη παι υα επιτραπεί στα αυτοκίυητα υα εφοδιαστούυ με εξάτμιση καταλυτική της οξείδωσης και της μείωσης τωυ καυσαερίωυ.	The purpose of eliminating lead from petrol is twofold, namely to remove the lead contained in petrol from exhaust gases and hence from the atmosphere and to allow motor vehicles to be fitted with a catalytic oxidation and reduction exhaust system.				
FALSE					
					
- της εφάπαξ ευίσχυσης αυά <L1>εκτάριο</L1> ή αυάλογα με τις ποσότητες που έχουυ παραχθεί.	— lastly, aid to consumption is granted for certain products (milk products and olive oil, for exam­ple).		BAD OCR		
- της εφάπαξ ευίσχυσης αυά <N1>εκτάριο</N1> ή αυάλογα με τις ποσότητες που έχουυ παραχθεί.	— lastly, aid to consumption is granted for certain products (milk products and olive oil, for exam­ple).				
TRUE					
					
Για τις μεταφορές επιβατών με λεωφορεία και <L1>πούλμαν</L1> η Κοινότητα θέσπισε ποινούς κανόνες και πέτυχε ορισμέυο βαθμό ελευθέρωσης (καυουισμού 117/66, 516/72, 1172/72, 2442/72, 517/72, που αφορούυ ευ μέρει τις ταπτικές και ευ μέρει τις έκτακτες μεταφορές).	PE 100.200 posais for setting up a common capacities policy for road transport in the Member States and for inland waterway transport, are still awaiting progress by the Council or by the Commission, the latter having been held up by the requirements of the Mannheim Con vention.	λεωφορείο πούλμαν	BAD OCR		
Για τις μεταφορές επιβατών με λεωφορεία και <N1>πούλμαν</N1> η Κοινότητα θέσπισε ποινούς κανόνες και πέτυχε ορισμέυο βαθμό ελευθέρωσης (καυουισμού 117/66, 516/72, 1172/72, 2442/72, 517/72, που αφορούυ ευ μέρει τις ταπτικές και ευ μέρει τις έκτακτες μεταφορές).	PE 100.200 posais for setting up a common capacities policy for road transport in the Member States and for inland waterway transport, are still awaiting progress by the Council or by the Commission, the latter having been held up by the requirements of the Mannheim Con vention.				
TRUE					
					
Το συνολικό ύψος του εν λόγω κονδυλίου ανέρχεται σε 215 εκατ. γερμανικά <L1>μάρκα</L1> (περίπου 5 γερμανικά μάρκα ανά εκλογέα).	Rules on election campaign: parties receive a sum in proportion to their share of the votes from an election campaign expenses fund totalling approximately DM 215 million (DM 5 per voter).		BAD OCR		
Το συνολικό ύψος του εν λόγω κονδυλίου ανέρχεται σε 215 εκατ. γερμανικά <N1>μάρκα</N1> (περίπου 5 γερμανικά μάρκα ανά εκλογέα).	Rules on election campaign: parties receive a sum in proportion to their share of the votes from an election campaign expenses fund totalling approximately DM 215 million (DM 5 per voter).		BAD OCR		
TRUE					
					
Σε περίπτωση ψηφοφορίας με ηλεκτρονικό σύστημα, κάθε βουλευτής μπορεί να ψηφίσει εγκύρως μόνο χρησιμοποιώντας την προσωπική του <L1>κάρτα</L1> ψηφοφορίας από τη θέση που του έχει ορισθεί μέσα στην αίθουσα των συνεδριάσεων.	Where an electronic vote is called, each Member may only vote using his personal voting card at the seat allocated to him in the Chamber.				
Σε περίπτωση ψηφοφορίας με ηλεκτρονικό σύστημα, κάθε βουλευτής μπορεί να ψηφίσει εγκύρως μόνο χρησιμοποιώντας την προσωπική του <N1>κάρτα</N1> ψηφοφορίας από τη θέση που του έχει ορισθεί μέσα στην αίθουσα των συνεδριάσεων.	Where an electronic vote is called, each Member may only vote using his personal voting card at the seat allocated to him in the Chamber.				
TRUE					
					
Οσο για τη μακροοικονομική προσέγγιση, δίνει αποτελέσματα εκφρασμένα στα συνηθισμένα για τη <L1>μακροοικονομία</L1> σύνολα (ΑΕΠ, πληθωρισμός, απασχόληση κ.λπ.).	(b) accompanying economic policy measures would improve the results significantly; at first sight, however, there would be a negative effect on the public deficit.				
Οσο για τη μακροοικονομική προσέγγιση, δίνει αποτελέσματα εκφρασμένα στα συνηθισμένα για τη <N1>μακροοικονομία</N1> σύνολα (ΑΕΠ, πληθωρισμός, απασχόληση κ.λπ.).	(b) accompanying economic policy measures would improve the results significantly; at first sight, however, there would be a negative effect on the public deficit.				
FALSE					
					
Εν συνεχεία, το ΕΚ συζήτησε την Πράσινη Βίβλο και ενέκρινε στις 10 Οκτωβρίου 1985 δύο ψηφίσματα που επηρέασαν σημαντικά το σχέδιο οδηγίας της Επιτροπής για την <L1>τηλεόραση</L1> χωρίς σύνορα.	Subsequently, the EP discussed the Green Paper and adopted two resolutions on 10 October 1985 which influenced considerably the Commission's draft directive on TV without frontiers.	δέκτης τηλεόραση			
Εν συνεχεία, το ΕΚ συζήτησε την Πράσινη Βίβλο και ενέκρινε στις 10 Οκτωβρίου 1985 δύο ψηφίσματα που επηρέασαν σημαντικά το σχέδιο οδηγίας της Επιτροπής για την <N1>τηλεοπτικός δέκτης</N1> χωρίς σύνορα.	Subsequently, the EP discussed the Green Paper and adopted two resolutions on 10 October 1985 which influenced considerably the Commission's draft directive on TV without frontiers.				
TRUE					
					
θα πρέπει εξάλλου να αναφερθεί η θέσπιση οτην Κοινότητα ενός ευρωπαϊκού συστήματος για την ανταλλαγή προσφορών και αιτήσεων για εργασία <L1>ρε</L1> στόχο τη διεθνή ισορροπία .	The Community has created a 'European system for the international clearing of vacancies and applications for employment'.		BAD OCR		
θα πρέπει εξάλλου να αναφερθεί η θέσπιση οτην Κοινότητα ενός ευρωπαϊκού συστήματος για την ανταλλαγή προσφορών και αιτήσεων για εργασία <N1>ρε</N1> στόχο τη διεθνή ισορροπία .	The Community has created a 'European system for the international clearing of vacancies and applications for employment'.				
FALSE					
					
Η κατάργηση του μόλυβδου στη <L1>βενζίνη</L1> έχει διττό στόχο: να απαλλαγούν τα καυσαέρια και συνεπώς η ατμόσφαιρα από το μόλυβδο που περιέχεται στη βενζίνη και να επιτραπεί στα αυτοκίνητα να εφοδιαστούν με εξάτμιση καταλυτική της οξείδωσης και της μείωσης των καυσαερίων.	The purpose of eliminating lead from petrol is twofold, namely to remove the lead contained in petrol from exhaust gases and hence from the atmosphere and to allow motor vehicles to be fitted with a catalytic oxidation and reduction exhaust system.				
Η κατάργηση του μόλυβδου στη <N1>βενζίνη</N1> έχει διττό στόχο: να απαλλαγούν τα καυσαέρια και συνεπώς η ατμόσφαιρα από το μόλυβδο που περιέχεται στη βενζίνη και να επιτραπεί στα αυτοκίνητα να εφοδιαστούν με εξάτμιση καταλυτική της οξείδωσης και της μείωσης των καυσαερίων.	The purpose of eliminating lead from petrol is twofold, namely to remove the lead contained in petrol from exhaust gases and hence from the atmosphere and to allow motor vehicles to be fitted with a catalytic oxidation and reduction exhaust system.				
TRUE					
					
Σύμφωνα με μια <L1>γκάλοπ</L1> μεταξύ πολιτών της ΕΟΚ το 1982 σχετικά με τη ρύπανση του περιβάλλοτος, ο θόρυβος είναι το δεύτερο σημαντικότερο πρόβλημα στον εν λόγω τομέα.	A survey on environmental pollution carried out in 1982 among EC citizens revealed that the latter considered noise to be the second most serious environmental problem.				
Σύμφωνα με μια <N1>δημοσκόπηση</N1> μεταξύ πολιτών της ΕΟΚ το 1982 σχετικά με τη ρύπανση του περιβάλλοτος, ο θόρυβος είναι το δεύτερο σημαντικότερο πρόβλημα στον εν λόγω τομέα.	A survey on environmental pollution carried out in 1982 among EC citizens revealed that the latter considered noise to be the second most serious environmental problem.				
TRUE					
					
Ενα εθνικό <L1>πάρκο</L1> (4 χμ2) δεν είναι ακόμα προσιτό στο κοινό.	One national park (4 km2) not yet open to the public.				
Ενα εθνικό <N1>πάρκο</N1> (4 χμ2) δεν είναι ακόμα προσιτό στο κοινό.	One national park (4 km2) not yet open to the public.				
TRUE					
					
Εντοπίζεται κυρίως σε ξηρές περιοχές, με ορεινή <L1>μορφολογία</L1> του εδάφους, που υφίστανται ισχυρή διάβρωση και δεν διαθέτουν εναλλακτικές λύσεις οικονομικά βιώσιμες.	The Council has not yet reached a decision on this proposal and has requested the Commission to effect a further study and to consult the main trading partners who would be affected by its implementation.	γλωσσική δομή μορφολογία			
Εντοπίζεται κυρίως σε ξηρές περιοχές, με ορεινή <N1>μορφολογία</N1> του εδάφους, που υφίστανται ισχυρή διάβρωση και δεν διαθέτουν εναλλακτικές λύσεις οικονομικά βιώσιμες.	The Council has not yet reached a decision on this proposal and has requested the Commission to effect a further study and to consult the main trading partners who would be affected by its implementation.				
FALSE					
					
Η περαιτέρω μείωση, που ζητήθηκε από το Κοινοβούλιο, έχει ήδη προταθεί από την Επιτροπή: έως το 1990 πρέπει να μειωθούν τα <L1>αεροζόλ</L1> σε 90%, όγκο αναφοράς αποτελεί η χρησιμοποιηθείσα το 1976 ποσότητα 200.211 τόννων.	In a resolution16 on this subject Parliament called on the Commission to continue its efforts to membership of CITES, to monitor the strict implementation of the Convention by the Member States party to it and to encourage those Member States which were not yet members to become signatories to the Convention.				
Η περαιτέρω μείωση, που ζητήθηκε από το Κοινοβούλιο, έχει ήδη προταθεί από την Επιτροπή: έως το 1990 πρέπει να μειωθούν τα <N1>εντομοκτόνο</N1> σε 90%, όγκο αναφοράς αποτελεί η χρησιμοποιηθείσα το 1976 ποσότητα 200.211 τόννων.	In a resolution16 on this subject Parliament called on the Commission to continue its efforts to membership of CITES, to monitor the strict implementation of the Convention by the Member States party to it and to encourage those Member States which were not yet members to become signatories to the Convention.				
TRUE					
					
Για το <L1>κουνουπίδι</L1> το Κοινοβούλιο είχε προτείνει κατώφλι παρέμβασης 5%, το Συμβούλιο όμως όρισε κατώφλι 3%.	5% for cauliflower; the Council decided on 3%.				
Για το <N1>κουνουπίδι</N1> το Κοινοβούλιο είχε προτείνει κατώφλι παρέμβασης 5%, το Συμβούλιο όμως όρισε κατώφλι 3%.	5% for cauliflower; the Council decided on 3%.				
FALSE					
					
Γερμανικό Μάρκο Ολλανδικό φιορίνι Λίρα στερλίνα Δανική κορώνα Γαλλικό φράγκο Ιταλική <L1>λίρα</L1> Ιρλανδική λίρα Δραχμή Ισπανική <L2>πεσέτα</L2>	Portuguese escudo US dollar Canadian dollar Swiss franc Swedish krona Norwegian krone Austrian shilling Finnish markka Japanese yen Australian dollar New Zealand dollar				
Γερμανικό Μάρκο Ολλανδικό φιορίνι Λίρα στερλίνα Δανική κορώνα Γαλλικό φράγκο Ιταλική <N1>>λίρα</N1> Ιρλανδική λίρα Δραχμή Ισπανική <N2>πεσέτα</N2>	Portuguese escudo US dollar Canadian dollar Swiss franc Swedish krona Norwegian krone Austrian shilling Finnish markka Japanese yen Australian dollar New Zealand dollar				
TRUE					
					
Πιο λεπτό είναι το θέμα της φύσης του εμβρύου στο οποίο η <L1>βιολογία</L1> δεν μπορεί μόνη της να δώσει απάντηση.	Senator Bompiani singled out for particular emphasis the need to protect the rights of the unborn child, while not overlooking the claims to protection of other interests and parties involved, including the family.	βιολογία βιολογική επιστήμη			
Πιο λεπτό είναι το θέμα της φύσης του εμβρύου στο οποίο η <N1>βιολογία</N1> δεν μπορεί μόνη της να δώσει απάντηση.	Senator Bompiani singled out for particular emphasis the need to protect the rights of the unborn child, while not overlooking the claims to protection of other interests and parties involved, including the family.				
FALSE					
					
Δεν επιτρέπεται να γίνεται υπερβολική χρήση <L1>τεστ</L1> καταλληλότητας.	The exception which the report conceded in the case of ' supremely important purposes ' did not provide researchers with a carte blanche.	δοκιμή τεστ			
Δεν επιτρέπεται να γίνεται υπερβολική χρήση <N1>εξέταση</N1> καταλληλότητας.	The exception which the report conceded in the case of ' supremely important purposes ' did not provide researchers with a carte blanche.				
TRUE					
					
Χειροτονήθηκε το 1946 και είναι <L1>προτεστάντης</L1> ιερέας, συγγραφέας, αρχισυντάκτης και εκδότης.	Ordained in 1946, he is a minister (protestant) of religion, writer, edita and publisher.	διαμαρτυρόμενος προτεστάντης | διαμαρτυρόμενος προτεστάντης προτεσταντικός			
Χειροτονήθηκε το 1946 και είναι <N1>διαμαρτυρόμενος</N1> ιερέας, συγγραφέας, αρχισυντάκτης και εκδότης.	Ordained in 1946, he is a minister (protestant) of religion, writer, edita and publisher.				
TRUE					
					
Ο Πρόεδρος της Γαλλικής Ομοσπονδίας Καθολικών Φοιτητών (1958-1959), γενική γραμματέας του παγκόσμιου <L1>φεστιβάλ</L1> πανεπιστημιακού θεάτρου του Νανσύ (1966-1967).	O President oí the French Federation of Catholic Students 1958-1959.	γιορτή φεστιβάλ			
Ο Πρόεδρος της Γαλλικής Ομοσπονδίας Καθολικών Φοιτητών (1958-1959), γενική γραμματέας της παγκόσμιας <N1>εκδήλωσης</N1> πανεπιστημιακού θεάτρου του Νανσύ (1966-1967).	O President oí the French Federation of Catholic Students 1958-1959.				
TRUE					
					
Είναι βέβαιο ότι τα κυριώτερα πρόσωπα πίσω από τη βία στο Βρετανικό <L1>ποδόσφαιρο</L1> έχουν ακροδεξιούς και ρατσιστικούς δεσμούς.	Certainly the major figures behind British football violence have far right andracist links.				
Είναι βέβαιο ότι τα κυριώτερα πρόσωπα πίσω από τη βία στο Βρετανικό <N1>ποδόσφαιρο</N1> έχουν ακροδεξιούς και ρατσιστικούς δεσμούς.	Certainly the major figures behind British football violence have far right andracist links.				
FALSE					
					
Έχουν επίσης σημειωθεί δύο θάνατοι Αφρικανών που ζητούσαν άσυλο: ένας φόνος το Σεπτέμβριο του 1987 (το ρατσιστικό κίνητρο ουδέποτε αποδείχθηκε) και ο θάνατος, στις 14 Ιανουαρίου 1987, ενός Ζαιρινού που ζητούσε άσυλο και ο οποίος υποχρεώθηκε να επιβιβαστεί σε <L1>αεροπλάνο</L1> με προορισμό το Ζαΐρ υπό τη συνοδεία 2 αστυνομικών.	There have also been two deathsof African asylum seekers: one murder in September 1987 (the racist motive has never been established) and another, on 14January 1987, concerning aZairean asylum seeker who was forced to boarda plane backto Zalre under the escortof two police officers, There has never been any plausible evidence to support the authorities'claim that he committed suicide (1e) and human rights associations alleged that he was beaten and then subjected to an overdoseof of tranquilizers.				
Έχουν επίσης σημειωθεί δύο θάνατοι Αφρικανών που ζητούσαν άσυλο: ένας φόνος το Σεπτέμβριο του 1987 (το ρατσιστικό κίνητρο ουδέποτε αποδείχθηκε) και ο θάνατος, στις 14 Ιανουαρίου 1987, ενός Ζαιρινού που ζητούσε άσυλο και ο οποίος υποχρεώθηκε να επιβιβαστεί σε <N1>αεροσκάφος</N1> με προορισμό το Ζαΐρ υπό τη συνοδεία 2 αστυνομικών.	There have also been two deathsof African asylum seekers: one murder in September 1987 (the racist motive has never been established) and another, on 14January 1987, concerning aZairean asylum seeker who was forced to boarda plane backto Zalre under the escortof two police officers, There has never been any plausible evidence to support the authorities'claim that he committed suicide (1e) and human rights associations alleged that he was beaten and then subjected to an overdoseof of tranquilizers.				
TRUE					
					
Επίσης, παραπονούνται ότι δεν τους δίνονται δάνεια από τις τράπεζες που ελέγχει το δημόσιο, ότι δεν τους χορηγούνται άδειες οδήγησης αυτοκινήτων και ότι σπανίως τους χορηγείται άδεια για την οδήγηση <L1>τρακτέρ</L1> (ω).	They speakof bureaucratic obstacles to obtaining permits for building housesand repairing their existing homes where sanitary and heating facilities are often lacking.They also complain of being refused loans from state-controlled banks, denied drivinglicences and rarely given permission to drivetractors (83).	γεωργικός ελκυστήρας τρακτέρ			
Επίσης, παραπονούνται ότι δεν τους δίνονται δάνεια από τις τράπεζες που ελέγχει το δημόσιο, ότι δεν τους χορηγούνται άδειες οδήγησης αυτοκινήτων και ότι σπανίως τους χορηγείται άδεια για την οδήγηση <N1>ελκυστήριοφόρου</N1> (ω).	They speakof bureaucratic obstacles to obtaining permits for building housesand repairing their existing homes where sanitary and heating facilities are often lacking.They also complain of being refused loans from state-controlled banks, denied drivinglicences and rarely given permission to drivetractors (83).				
TRUE					
					
Μόνο μετά τη <L1>βόμβα</L1> στον ξενώνα μεταναστών στη Νίκαια το Δεκέμβριο του 1988 ( *) αποφάσισε ο πρωθυπουργός να συστήσει ένα διυπουργικό επιτελείο για το συντονισμό της εκστρατείας κατά της ρατσιστικής βίας.	The Harki father of the youth who died from three shots in theback at close r an E e , who received a series of decorations for his services in the French Army , went on a longhunger striketo protest against the release of the policeman by theexamining magistrate, acting against the advice of the Public Prosecutor's Office in				
Μόνο μετά τη <N1>βόμβα</N1> στον ξενώνα μεταναστών στη Νίκαια το Δεκέμβριο του 1988 ( *) αποφάσισε ο πρωθυπουργός να συστήσει ένα διυπουργικό επιτελείο για το συντονισμό της εκστρατείας κατά της ρατσιστικής βίας.	The Harki father of the youth who died from three shots in theback at close r an E e , who received a series of decorations for his services in the French Army , went on a longhunger striketo protest against the release of the policeman by theexamining magistrate, acting against the advice of the Public Prosecutor's Office in				
TRUE					
					
Ένας δημοσιογράφος που προσφέρθηκε να τους βοηθήσει μπήκε στα δύο κέντρα φορώντας <L1>γραβάτα</L1> και μπλουτζίν.	A journalist who offered to help them entered the two clubs,dressed with a tie and in blue jeans. The three	γραβάτα λαιμοδέτης			
Ένας δημοσιογράφος που προσφέρθηκε να τους βοηθήσει μπήκε στα δύο κέντρα φορώντας <N1>λαιμοδέτης</N1> και μπλουτζίν.	A journalist who offered to help them entered the two clubs,dressed with a tie and in blue jeans. The three				
TRUE					
					
Εργάζονταν σε προσωρινή βάση με τουριστική <L1>βίζα</L1> σε πολλές χώρες της Δυτικής Ευρώπης.	Theyworked on a temporary basis witha tourist-visa in many West European countries.				
Εργάζονταν σε προσωρινή βάση με τουριστική <N1>θεώρηση εισόδου</N1> σε πολλές χώρες της Δυτικής Ευρώπης.	Theyworked on a temporary basis witha tourist-visa in many West European countries.				
TRUE					
					
Εντούτοις, καθώς μερικά από τα σημαντικότερα κράτη μέλη του Συμβουλίου εξέφρασαν την αντίθεση τους για την υπογραφή της συμφωνίας αυτής, το κείμενο έχει μείνει στο <L1>ράφι</L1> και κατά κάποιο τρόπο ξεπεράσθηκε από τη	However, as some of the more important Member States of the Council were opposed tosigning this agreement, the text was shelved and it has in a sense been superseded by the Convention on the determination of the Member State responsible for examining an	πάγκος ράφι			
Εντούτοις, καθώς μερικά από τα σημαντικότερα κράτη μέλη του Συμβουλίου εξέφρασαν την αντίθεση τους για την υπογραφή της συμφωνίας αυτής, το κείμενο έχει μείνει στο <N1>ράφι</N1> και κατά κάποιο τρόπο ξεπεράσθηκε από τη	However, as some of the more important Member States of the Council were opposed tosigning this agreement, the text was shelved and it has in a sense been superseded by the Convention on the determination of the Member State responsible for examining an				
TRUE					
					
19. πιστεύει ότι οι χιονοδρόμοι που επιδίδονται σε περιηγητικό <L1>σκι</L1> θα πρέπει να ακολουθούν κατάλληλες οδηγίες και συστάσεις σχετικά με το δρομολόγιο τους και τους προστατευόμενους βιότοπους'	19· Takes the view that touring skiers should be provided with appropriate guidance in the form of routes to follow and recommendations in respect of nature conservation areas;	σκι χιονοπέδιλα | σκι χιονοδρομία			
19. πιστεύει ότι οι χιονοδρόμοι που επιδίδονται σε περιηγητικό <N1>σκι</N1> θα πρέπει να ακολουθούν κατάλληλες οδηγίες και συστάσεις σχετικά με το δρομολόγιο τους και τους προστατευόμενους βιότοπους'	19· Takes the view that touring skiers should be provided with appropriate guidance in the form of routes to follow and recommendations in respect of nature conservation areas;				
TRUE					
					
Όπως και στην περίπτωση της διαδικασίας συνεργασίας η οποία εισήχθη με την Ενιαία Ευρωπαϊκή Πράξη, το Κοινοβούλιο θα πρέπει απαραιτήτως να χρησιμοποιεί την πρώτη του ανάγνωση στο πλαίσιο της διαδικασίας συναπόφασης για να εκφράζει την <L1>μάξιμουμ</L1> θέση του.	As 1n the case of the cooperation procedure introduced by the Single European Act, 1t will be necessary for Parliament to use its first reading under the co-dec1s1on procedure to express its maximum position.				
Όπως και στην περίπτωση της διαδικασίας συνεργασίας η οποία εισήχθη με την Ενιαία Ευρωπαϊκή Πράξη, το Κοινοβούλιο θα πρέπει απαραιτήτως να χρησιμοποιεί την πρώτη του ανάγνωση στο πλαίσιο της διαδικασίας συναπόφασης για να εκφράζει την <N1>ολική</N1> θέση του.	As 1n the case of the cooperation procedure introduced by the Single European Act, 1t will be necessary for Parliament to use its first reading under the co-dec1s1on procedure to express its maximum position.				
TRUE					
					
Μολονότι ετοιμάσθηκε ένα βελτιωμένο (από τη σκοπιά του Κοινοβουλίου) σχέδιο έως τα τέλη Σεπτεμβρίου, το κείμενο, κατά το <L1>κονκλάβιο</L1> του Συμβουλίου στις 12-13 Νοεμβρίου, παλινδρόμησε σχεδόν ολοκληρωτικά στη μορφή την οποία είχε στις 26 Αυγούστου.	Although by the end of September an improved draft (from Parliament's point of view) had been prepared, by the 12th/13th November meeting of the Council  conclave , the text reverted to virtually its 26th August form.				
Μολονότι ετοιμάσθηκε ένα βελτιωμένο (από τη σκοπιά του Κοινοβουλίου) σχέδιο έως τα τέλη Σεπτεμβρίου, το κείμενο, κατά το <N1>κονκλάβιο</N1> του Συμβουλίου στις 12-13 Νοεμβρίου, παλινδρόμησε σχεδόν ολοκληρωτικά στη μορφή την οποία είχε στις 26 Αυγούστου.	Although by the end of September an improved draft (from Parliament's point of view) had been prepared, by the 12th/13th November meeting of the Council  conclave , the text reverted to virtually its 26th August form.				
TRUE					
					
Ο ΕΥΡΩΠΑΪΚΟ ΚΟΙΝΟΒΟΥΛΙΟ ΑΝΟΙΚΤΟ ΣΤΟΝ ΚΟΣΜΟ ορωπαϊκή Ένωση, η μεγαλύτερη δημοκρατική και ειρηνική συνένωση κρατών και η κυριότερη οικονομική δύναμη σε παγκόσμια κλίμακα, αποτελεί ολοένα και μεγαλύτερο <L1>πόλο</L1> έλξης σε έναν κόσμο χωρίς σημεία αναφοράς.	THE EUROPEAN PARLIAMENT: A WINDOW ON THE WORLD ι of democratic, peaceful Stale- and e large > t economic power in the world, the European L exercises an ever-er				
Ο ΕΥΡΩΠΑΪΚΟ ΚΟΙΝΟΒΟΥΛΙΟ ΑΝΟΙΚΤΟ ΣΤΟΝ ΚΟΣΜΟ ορωπαϊκή Ένωση, η μεγαλύτερη δημοκρατική και ειρηνική συνένωση κρατών και η κυριότερη οικονομική δύναμη σε παγκόσμια κλίμακα, αποτελεί ολοένα και μεγαλύτερο <N1>προσελκυστικός</N1> έλξης σε έναν κόσμο χωρίς σημεία αναφοράς.	THE EUROPEAN PARLIAMENT: A WINDOW ON THE WORLD ι of democratic, peaceful Stale- and e large > t economic power in the world, the European L exercises an ever-er				
TRUE					
					
Οργανα διάθεση εκδόσεων γενικών πληροφοριών, που παράγουν τα παροχή επισήμων εκδόσεων για αναζήτηση πληροφοριών προσφορά χαρτών, πόατερ, κ.λ.π. κατηρτισμένο προσωπικό που δίνει πλ.ηροφορίες προβολές <L1>βίντεο</L1> προσανατολισμός των ειδικευμένων ερωτήσεων σε κατάλ.λ.ηλες πηγές.	Traditionally, an EIP provides the following services: distribution of general publications produced by the institutions display of official publications for consultation display of maps, posters, etc. trained staff to answer questions video presentations guiding more specialized requests towards the appropriate information sources.				
Οργανα διάθεση εκδόσεων γενικών πληροφοριών, που παράγουν τα παροχή επισήμων εκδόσεων για αναζήτηση πληροφοριών προσφορά χαρτών, πόατερ, κ.λ.π. κατηρτισμένο προσωπικό που δίνει πλ.ηροφορίες προβολές <N1>μαγνητοσκόπιο</N1> προσανατολισμός των ειδικευμένων ερωτήσεων σε κατάλ.λ.ηλες πηγές.	Traditionally, an EIP provides the following services: distribution of general publications produced by the institutions display of official publications for consultation display of maps, posters, etc. trained staff to answer questions video presentations guiding more specialized requests towards the appropriate information sources.				
TRUE					
					
Περιφερειακός διευθυντής σχεδιασμού (Μαδέρα, 1980-1989). δ Βουλευτής της Εθνοσυνέλευσης (1965-1968). δ Συγγραφέας διαφόρων έργων σχετικά με τη γεωργική <L1>βοτανική</L1> και εντομολογία, καθώς και εργασιών σχετικά με τη γεωργική οικονομία.	0 Author of various works on agricultural botany and agricultural entomology and a number of papers on agricultural economics.	βοτανική φυτολογία			
