					
					
Πίνετε αυτό το <L1>τσάι</L1> κρύο, 2-3 φορές τη μέρα πριν από τα γεύματα.	Take 1 teaspoon of pollen, 2 times a day for half an hour before meals.				
					
Μία τσιμεντένια <L1>ζούγκλα</L1> όπου φτιάχνονται τα όνειρα, περισσότεροι από 250.000 νέοι κάτοικοι μετακομίζουν εδώ κάθε χρόνο.	A concrete jungle where dreams are made of, more than 250.000 new residents make their move here every year.	δάσος ζούγκλα			
Μία τσιμεντένια <N1></N1> όπου φτιάχνονται τα όνειρα, περισσότεροι από 250.000 νέοι κάτοικοι μετακομίζουν εδώ κάθε χρόνο.	A concrete jungle where dreams are made of, more than 250.000 new residents make their move here every year.				
FALSE					
					
Έτσι, έχουμε ένα δεύτερο σημείο σύνδεσης μεταξύ του νοήματος της αυτονομίας στην <L1>ψυχανάλυση</L1> και του νοήματος της αυτονομίας στην πολιτική.	Thus, we have a second point of conjunction between the sense of autonomy in psychoanalysis and the sense of autonomy in politics.				
Έτσι, έχουμε ένα δεύτερο σημείο σύνδεσης μεταξύ του νοήματος της αυτονομίας στην <N1></N1> και του νοήματος της αυτονομίας στην πολιτική.	Thus, we have a second point of conjunction between the sense of autonomy in psychoanalysis and the sense of autonomy in politics.				
FALSE					
					
Η <L1>βεράντα</L1> που διαθέτει το κάθε στούντιο μας θα είναι το καλύτερο μέρος για να χαλαρώσετε και να πιείτε ένα κρασί με θέα μερικά από τα καλύτερα ηλιοβασιλέματα.	The veranda of each studio will be the best place to relax and drink a glass of wine overlooking some of the best sunsets.	εξώστης αίθριο βεράντα			
Ο <N1>εξώστης</N1> που διαθέτει το κάθε στούντιο μας θα είναι το καλύτερο μέρος για να χαλαρώσετε και να πιείτε ένα κρασί με θέα μερικά από τα καλύτερα ηλιοβασιλέματα.	The veranda of each studio will be the best place to relax and drink a glass of wine overlooking some of the best sunsets.				
TRUE					
					
Στο διαβήτη, ο οργανισμός παράγει λιγότερη ή και καθόλου <L1>ινσουλίνη</L1> ή χρησιμοποιεί την ινσουλίνη με τρόπο μη αποτελεσματικό.	Insulin resistance is a condition in which the body produces insulin but does not use it properly.				
Στο διαβήτη, ο οργανισμός παράγει λιγότερη ή και καθόλου <N1></N1> ή χρησιμοποιεί την ινσουλίνη με τρόπο μη αποτελεσματικό.	Insulin resistance is a condition in which the body produces insulin but does not use it properly.				
FALSE					
					
Τα θερινά <L1>σινεμά</L1> της πόλης σας περιμένουν κάθε βράδυ με ταινίες για όλα τα γούστα.	Summer movie theatres wait for you every night with movies for all tastes.	κινηματογράφος σινεμά			
Οι θερινοί <N1>κινηματογράφοι</N1> της πόλης σας περιμένουν κάθε βράδυ με ταινίες για όλα τα γούστα.	Summer movie theatres wait for you every night with movies for all tastes.				
TRUE					
					
Ξεκινήστε εύκολα με μια χρεωστική/πιστωτική <L1>κάρτα</L1> ή ένα ηλεκτρονικό πορτοφόλι.	Easily get started with a debit/credit card or e-wallet.	κάρτα δελτίο			
Ξεκινήστε εύκολα με ενα χρεωστικό/πιστωτικό <N1>δελτίο</N1> ή ένα ηλεκτρονικό πορτοφόλι.	Easily get started with a debit/credit card or e-wallet.				
TRUE					
					
Εκδρομή με <L1>καΐκι</L1> στην Σαντορίνη	Boat excursion to Santorini	πλοιάριο ταχύπλοο ξύλινο σκάφος καΐκι			
Εκδρομή με <N1>πλοιάριο</N1> στην Σαντορίνη	Boat excursion to Santorini				
TRUE					
					
Υγρό για κάθε μέρα-όλη μέρα, με βάση καπνού που αναμειγνύεται με πικάντικη <L1>καραμέλα</L1> και βανίλια.	An exceptional all day vape liquid with tobacco base that got mixed with spicy caramel and vanilla.				
Υγρό για κάθε μέρα-όλη μέρα, με βάση καπνού που αναμειγνύεται με πικάντικη <N1></N1> και βανίλια.	An exceptional all day vape liquid with tobacco base that got mixed with spicy caramel and vanilla.				
FALSE					
					
Η παρουσία του βαρελιού υπογραμμίζεται με νύξεις δρυός, λευκό πιπέρι, <L1>βιολέτα</L1> και λεπτούς τόνους αποξηραμένων φρούτων.	The presence of the barrel is underlined with hints of oak, white pepper, violet and delicate tones of dried fruit.	βιολέτα βιόλα μενεξές			
Η παρουσία του βαρελιού υπογραμμίζεται με νύξεις δρυός, λευκό πιπέρι, <N1></N1> και λεπτούς τόνους αποξηραμένων φρούτων.	The presence of the barrel is underlined with hints of oak, white pepper, violet and delicate tones of dried fruit.				
FALSE					
					
Σύμβαση της Βόννης για τη διατήρηση των αποδημητικών ειδών που ανήκουν στην άγρια <L1>πανίδα</L1> (Βόννη 1979)	Bonn Convention on the Conservation of Migratory Species of Wild Fauna (Bonn 1979)	ζωικό βασίλειο 			
Σύμβαση της Βόννης για τη διατήρηση των αποδημητικών ειδών που ανήκουν στην άγρια <N1></N1> (Βόννη 1979)	Bonn Convention on the Conservation of Migratory Species of Wild Fauna (Bonn 1979)				
FALSE					
					
Η λέξη <L1>ολογραφία</L1> από μόνη της συνδυάζεται αμέσως στο μυαλό του θεατή με τεχνολογίες του μέλλοντος και εντυπωσιακές απεικονίσεις προσφέροντας άμεσα μια σύνδεση με πρωτοποριακά προϊόντα και υπηρεσίες.	The word holography (in Greek means capture the whole) creates in the people's mind a futuristic approach of impressive projections and a connection to innovative products and services.				
Η λέξη <N1></N1> από μόνη της συνδυάζεται αμέσως στο μυαλό του θεατή με τεχνολογίες του μέλλοντος και εντυπωσιακές απεικονίσεις προσφέροντας άμεσα μια σύνδεση με πρωτοποριακά προϊόντα και υπηρεσίες.	The word holography (in Greek means capture the whole) creates in the people's mind a futuristic approach of impressive projections and a connection to innovative products and services.				
FALSE					
					
Τελικά η ενέργεια πότε είναι σταθερή όταν ασταμάτητα αυτή μεταβάλλεται και μετατρέπεται και έτσι κάθε φορά αναφερόμαστε σε διαφορετική ποσότητα; Ποια ποσότητα είναι σταθερή, αφού δεν υπάρχει κανένα σύστημα τελείως απομονωμένο στο χώρο και στο χρόνο; Ποια είναι η βασική και γενικότερη αρχή, η οποία δεν επιτρέπει να χαθεί η ενέργεια στην ατέλειωτη μετατροπή και στο λαβύρινθο της μεταβολής της; Θα προσθέταμε, ακόμα: Και για να μη μετατραπεί όλη η ενέργεια σε μια μόνο μορφή και τελικά επέλθει μια αδιατάρακτη σταθερότητα (όπως λ.χ. ο λεγόμενος <L1>θερμικός</L1> θάνατος του Σύμπαντος ); Μπορείς να δώσεις μια εξήγηση για τη διατήρηση της ενέργειας παρά τις μετατροπές της;	18) Finally, when is the energy conserved since it changes ceaselessly and it is converted into other forms and so every time we mention a different quantity? What quantity is stable, since no system seems totally isolated in space and time? What is the basic and general principle, which does not allow energy to be lost in the endless convert and labyrinth of its change?				
Τελικά η ενέργεια πότε είναι σταθερή όταν ασταμάτητα αυτή μεταβάλλεται και μετατρέπεται και έτσι κάθε φορά αναφερόμαστε σε διαφορετική ποσότητα; Ποια ποσότητα είναι σταθερή, αφού δεν υπάρχει κανένα σύστημα τελείως απομονωμένο στο χώρο και στο χρόνο; Ποια είναι η βασική και γενικότερη αρχή, η οποία δεν επιτρέπει να χαθεί η ενέργεια στην ατέλειωτη μετατροπή και στο λαβύρινθο της μεταβολής της; Θα προσθέταμε, ακόμα: Και για να μη μετατραπεί όλη η ενέργεια σε μια μόνο μορφή και τελικά επέλθει μια αδιατάρακτη σταθερότητα (όπως λ.χ. ο λεγόμενος <N1></N1> θάνατος του Σύμπαντος ); Μπορείς να δώσεις μια εξήγηση για τη διατήρηση της ενέργειας παρά τις μετατροπές της;	18) Finally, when is the energy conserved since it changes ceaselessly and it is converted into other forms and so every time we mention a different quantity? What quantity is stable, since no system seems totally isolated in space and time? What is the basic and general principle, which does not allow energy to be lost in the endless convert and labyrinth of its change?				
FALSE					
					
Στερεώνεται απευθείας στον τοίχο από γυάλινη <L1>κουρτίνα</L1> χωρίς αλλαγή της δομής του κτιρίου.	It is directly fixed on the glass curtain wall without changing the building structure.	κουρτίνα παραπέτασμα			
Στερεώνεται απευθείας στον τοίχο από γυάλινο <N1>παραπέτασμα</N1> χωρίς αλλαγή της δομής του κτιρίου.	It is directly fixed on the glass curtain wall without changing the building structure.				
TRUE					
					
Να εξετάζετε κριτικά πώς το <L1>ρεπορτάζ</L1> ειδήσεων σε διάφορα μέρη του κόσμου διαμορφώνεται από τα διαφορετικά πολιτιστικά, πολιτικά και οικονομικά περιβάλλοντα	Critically examine how news reporting in various parts of the world is shaped by their different cultural, political and economic contexts and media environments	δελτίο ειδήσεων δημοσιογραφική κάλυψη  ειδησεογραφική αναφορά ρεπορτάζ 			
Να εξετάζετε κριτικά πώς το <N1>δελτίο</N1> ειδήσεων σε διάφορα μέρη του κόσμου διαμορφώνεται από τα διαφορετικά πολιτιστικά, πολιτικά και οικονομικά περιβάλλοντα	Critically examine how news reporting in various parts of the world is shaped by their different cultural, political and economic contexts and media environments				
TRUE					
					
Εάν <L1>παρόλα</L1> αυτά τσιμπήσει ο σφήκας, το πρώτο βήμα είναι να θεραπεύσετε αμέσως την πληγή.	If the hornet nevertheless stung, the first step is to immediately treat the wound.	παρά ταύτα  παρ' όλα αυτά παρόλα			
Εάν <N1>παρά ταύτα</N1> αυτά τσιμπήσει ο σφήκας, το πρώτο βήμα είναι να θεραπεύσετε αμέσως την πληγή.	If the hornet nevertheless stung, the first step is to immediately treat the wound.				
TRUE					
					
Το φάσμα των δραστηριοτήτων της Αίθουσας Τέχνης Νέες Μορφές υπήρξε ευρύ: Φιλοξένησε πολλές ατομικές εκθέσεις καθιερωμένων και νέων καλλιτεχνών, καθώς και ομαδικές εκθέσεις, στο χώρο της <L1>γκαλερί</L1> αλλά και σε άλλα εκθεσιακά κέντρα.	Nees Morfes activities spanned quite a wide range of art related events, including the organization of solo and group exhibitions of established and younger artists, both at the gallery's premises and other exhibition centres.	αίθουσα τέχνης γκαλερί εκθετήριο πινακοθήκη			
Το φάσμα των δραστηριοτήτων της Αίθουσας Τέχνης Νέες Μορφές υπήρξε ευρύ: Φιλοξένησε πολλές ατομικές εκθέσεις καθιερωμένων και νέων καλλιτεχνών, καθώς και ομαδικές εκθέσεις, στο χώρο της <N1>πινακοθήκης</N1> αλλά και σε άλλα εκθεσιακά κέντρα.	Nees Morfes activities spanned quite a wide range of art related events, including the organization of solo and group exhibitions of established and younger artists, both at the gallery's premises and other exhibition centres.				
TRUE					
					
Πολλές φορές ένας έμπειρος <L1>δοκιμαστής</L1> είναι σε θέση να υποψιαστεί την ύπαρξη της νοθείας και να ζητήσει περαιτέρω αναλύσεις.	On many occasions, an experienced taster is able to suspect signs of adulteration and ask for further analysis.				
Πολλές φορές ένας έμπειρος <N1></N1> είναι σε θέση να υποψιαστεί την ύπαρξη της νοθείας και να ζητήσει περαιτέρω αναλύσεις.	On many occasions, an experienced taster is able to suspect signs of adulteration and ask for further analysis.				
FALSE					
					
Εταζέρα με <L1>ντουλάπι</L1> και χώρους αποθήκευσης και οργάνωσης.	Etagere with cabinet and organisational spaces.	ερμάριο ντουλάπι			
Εταζέρα με <N1>ερμάριο</N1> και χώρους αποθήκευσης και οργάνωσης.	Etagere with cabinet and organisational spaces.				
TRUE					
					
Επιλέξαμε τα ενδεδειγμένα δέντρα προκειμένου να κατασκευαστούν δύο κατάρτια, δύο μάτσες, δύο πίκια, ένας <L1>αράπης</L1> και ένα μπαστούνι, δηλαδή σύνολο οκτώ δέντρα.	We selected suitable tree trunks in order to fabricate two masts, two booms, two gaffs, a jib boom, and a bowsprit, a total of eight trunks.	πρόβολος αράπης 			
Επιλέξαμε τα ενδεδειγμένα δέντρα προκειμένου να κατασκευαστούν δύο κατάρτια, δύο μάτσες, δύο πίκια, ένας <N1>πρόβολος</N1> και ένα μπαστούνι, δηλαδή σύνολο οκτώ δέντρα.	We selected suitable tree trunks in order to fabricate two masts, two booms, two gaffs, a jib boom, and a bowsprit, a total of eight trunks.				
FALSE					
					
Επιτραχήλιο σε <L1>μπορντό</L1> αλπακά ύφασμα με σχέδιο ανάμεσα στους σταυρούς και στο κάτω μέρος.	Epitrachelion in burgundy crepe satin fabric with a pattern between the crosses and the bottom.	ερυθρό βαθύ κόκκινο μπορντό			
Επιτραχήλιο σε <N1></N1> αλπακά ύφασμα με σχέδιο ανάμεσα στους σταυρούς και στο κάτω μέρος.	Epitrachelion in burgundy crepe satin fabric with a pattern between the crosses and the bottom.				
FALSE					
					
Προαιρετικά μπορείτε να βάλετε και μέλι, <L1>σιρόπι</L1> σφενδάμου, σιρόπι αγαύης κ.α έως 100γραμμάρια.	Optionally you can add honey, maple syrup, agave syrup etc. up to 100 grams.	μελάσα σιρόπι			
Προαιρετικά μπορείτε να βάλετε και μέλι, <N1></N1> σφενδάμου, σιρόπι αγαύης κ.α έως 100γραμμάρια.	Optionally you can add honey, maple syrup, agave syrup etc. up to 100 grams.				
FALSE					
					
Κανείς δεν θα ξεχάσει το <L1>σπριντ</L1> του Στόγιαν Βράνκοβιτς, ενός ανθρώπου 2.20, να περνά πάνω από τον πεσμένο Παναγιώτη Γιαννάκη και να κόβει τον Ισπανό στην τελική του προσπάθεια.	A 2.20m-tall guy named Stojan Vrankovic made an incredible sprint, jumping over Panaghiotis Giannakis, who was lying down on the court, to cutoff the Spaniard before finishing his scoring effort.	ταχύς αγώνας σπριντ			
Κανείς δεν θα ξεχάσει το <N1></N1> του Στόγιαν Βράνκοβιτς, ενός ανθρώπου 2.20, να περνά πάνω από τον πεσμένο Παναγιώτη Γιαννάκη και να κόβει τον Ισπανό στην τελική του προσπάθεια.	A 2.20m-tall guy named Stojan Vrankovic made an incredible sprint, jumping over Panaghiotis Giannakis, who was lying down on the court, to cutoff the Spaniard before finishing his scoring effort.				
FALSE					
					
Ο <L1>φρέσκος</L1> χυμός λεμονιού, καθώς και μια μικρή ποσότητα βιολογικού φυσικού ξυδιού συμπληρώνουν την γευσιγνωστική <L2>παλέτα</L2> των Ανάλατων ελιών Καλαμών.	Fresh lemon juice, as well as a small amount of organic natural vinegar, completes the tasting palette of the Unsalted Kalamata olives.	φρέσκος νωπός | παλέτα φάσμα ποκιλία γεύσεων			
Ο <N1>φρέσκος</N1> χυμός λεμονιού, καθώς και μια μικρή ποσότητα βιολογικού φυσικού ξυδιού συμπληρώνουν το γευσιγνωστικό <N2>φάσμα</N2> των Ανάλατων ελιών Καλαμών.	Fresh lemon juice, as well as a small amount of organic natural vinegar, completes the tasting palette of the Unsalted Kalamata olives.				
TRUE					
					
Υπήρχε σε δύο παραλλαγές: στον ναυτικό με το μαύρο <L1>μούσι</L1> και τον σκούρο επενδύτη και σε εκείνον με το άσπρο μούσι και την κίτρινη νιτσεράδα.	It came in two variants: the navy with the black beard and the dark cloak and the one with the white beard and the yellow beard.	γένια μούσι			
Υπήρχε σε δύο παραλλαγές: στον ναυτικό με τα μαύρα <N1>γένια</N1> και τον σκούρο επενδύτη και σε εκείνον με το άσπρο μούσι και την κίτρινη νιτσεράδα.	It came in two variants: the navy with the black beard and the dark cloak and the one with the white beard and the yellow beard.				
TRUE					
					
Πειστείτε και μόνοι σας, ακούστε ακόμη περισσότερες ιστορίες και δοκιμάστε το καλύτερο καφέ στο μέρος αυτό, καφέ για <L1>κέφι</L1> στο κέφι του Χασάν.	See for yourselves, hear many more stories and drink the best coffee in Hasankeyf.	ευθυμία ωηρότητα ζωντάνια κέφι			
Πειστείτε και μόνοι σας, ακούστε ακόμη περισσότερες ιστορίες και δοκιμάστε το καλύτερο καφέ στο μέρος αυτό, καφέ για <N1>ευθυμία</N1> στο κέφι του Χασάν.	See for yourselves, hear many more stories and drink the best coffee in Hasankeyf.				
TRUE					
					
Από πορτοκαλί <L1>ρουζ</L1> και κοραλλί <L2>κραγιόν</L2> μέχρι <L3>τιρκουάζ</L3> και κίτρινη σκιά.	From orange blush and coral lipstick to yellow and turquoise eyeshadows.	ερυθρό κοκκινάδι ρουζ | κραγιόν βαφή χειλιών | γαλαζοπράσινο τιρκουάζ			
Από πορτοκαλί <N1>ρουζ</N1> και κοραλλί <N2>βαφή χειλιών </N2> μέχρι <N3>γαλαζοπράσινο</N3> και κίτρινη σκιά.	From orange blush and coral lipstick to yellow and turquoise eyeshadows.				
TRUE					
					
Όταν επικεντρώνουμε το βλέμμα μας σε αντικείμενα κοντινής απόστασης, για μεγάλο χρονικό διάστημα, ενδέχεται να μας οδηγήσει σε οπτική κόπωση. Είτε εργάζεστε κάτω από το <L1>καπό</L1> του αυτοκινήτου σας, είτε κάνετε κάποια ξυλουργική εργασία, σίγουρα έχετε βιώσει αυτό το αίσθημα.	Fixing your vision on objects for a long period of time can result in tired eyes, whether you're working under the bonnet of your car or on wood work you have probably experienced eye fatigue.	κάλυμμα κινητήρα καπό			
Όταν επικεντρώνουμε το βλέμμα μας σε αντικείμενα κοντινής απόστασης, για μεγάλο χρονικό διάστημα, ενδέχεται να μας οδηγήσει σε οπτική κόπωση. Είτε εργάζεστε κάτω από το <N1>κάλλυμα</N1> του αυτοκινήτου σας, είτε κάνετε κάποια ξυλουργική εργασία, σίγουρα έχετε βιώσει αυτό το αίσθημα.	Fixing your vision on objects for a long period of time can result in tired eyes, whether you're working under the bonnet of your car or on wood work you have probably experienced eye fatigue.				
TRUE					
					
Το λιμάνι, ο κεντρικός σταθμός των λεωφορείων και η <L1>πιάτσα</L1> των ταξί βρίσκονται 500μ. μακριά, προσφέροντας εύκολη πρόσβαση στους αρχαιολογικούς χώρους της Ρόδου, όπως είναι η μεσαιωνική παλιά πόλη και το λιμάνι του Μανδρακίου.	The port, main bus and taxi stations are 500 metres away, allowing easy access to the archaeological sites of Rhodes, such as the medieval Old Town or the Mandraki harbour.	αγορά παζάρι στάση πιάτσα			
Το λιμάνι, ο κεντρικός σταθμός των λεωφορείων και η <N1>στάση</N1> των ταξί βρίσκονται 500μ. μακριά, προσφέροντας εύκολη πρόσβαση στους αρχαιολογικούς χώρους της Ρόδου, όπως είναι η μεσαιωνική παλιά πόλη και το λιμάνι του Μανδρακίου.	The port, main bus and taxi stations are 500 metres away, allowing easy access to the archaeological sites of Rhodes, such as the medieval Old Town or the Mandraki harbour.				
TRUE					
					
Μια μικρή συμβουλή: ένα τραπέζι γάμου όταν η ώρα περάσει, μπορεί εύκολα να μετατραπεί σε πάρτυ με ποτά και <L1>κοκτέιλ</L1> στην πάνω βεράντα του εστιατορίου!	A little tip: a wedding dinner can easily be transformed into a party with drinks and cocktails!	ποτά ανάμειξης κοκτέιλ			
Μια μικρή συμβουλή: ένα τραπέζι γάμου όταν η ώρα περάσει, μπορεί εύκολα να μετατραπεί σε πάρτυ με ποτά και <N1></N1> στην πάνω βεράντα του εστιατορίου!	A little tip: a wedding dinner can easily be transformed into a party with drinks and cocktails!				
FALSE					
					
Η <L1>κουλτούρα</L1> της εταιρείας μας που έχει στο επίκεντρο την κοινωνική ένταξη, το επιχειρηματικό πνεύμα και την ομαδικότητα δίνει καθημερινά κίνητρο στους 34.000 εργαζομένους μας.	Our culture of inclusivity, entrepreneurship and teamwork empowers our 34,000 employees.	πολιτισμός κουλτούρα			
Ο<N1>πολιτισμός</N1> της εταιρείας μας που έχει στο επίκεντρο την κοινωνική ένταξη, το επιχειρηματικό πνεύμα και την ομαδικότητα δίνει καθημερινά κίνητρο στους 34.000 εργαζομένους μας.	Our culture of inclusivity, entrepreneurship and teamwork empowers our 34,000 employees.				
TRUE					
					
Το διώροφο κτίριο στο κέντρο της Αθήνας όπου βρέθηκε ο κατάλληλος χώρος για να στεγαστεί το <L1>ατελιέ</L1> της, αποτελεί μια εναλλακτική πρόταση χώρου υποδοχής της μέλλουσας νύφης.	The two storey building where she found the perfect shelter makes up an alternative hosting proposal for the bride-to-be.	(καλλιτεχνικό) εργαστήριο ατελιέ			
Το διώροφο κτίριο στο κέντρο της Αθήνας όπου βρέθηκε ο κατάλληλος χώρος για να στεγαστεί το <N1>καλλιτεχνικό εργαστήριό</N1> της, αποτελεί μια εναλλακτική πρόταση χώρου υποδοχής της μέλλουσας νύφης.	The two storey building where she found the perfect shelter makes up an alternative hosting proposal for the bride-to-be.				
TRUE					
					
Εκτός από το να παρέχετε στον σκαντζόχοιρο σας αρκετό χώρο, βεβαιωθείτε ότι έχει πρόσβαση σε ένα <L1>μαξιλάρι</L1> θέρμανσης το χειμώνα και ένα μαξιλάρι ψύξης το καλοκαίρι.	In addition to providing your hedgehog with enough space, make sure he has access to a heating pad in the winter and a cooling pad in the summer.	μαξιλάρι προσκέφαλο			
Εκτός από το να παρέχετε στον σκαντζόχοιρο σας αρκετό χώρο, βεβαιωθείτε ότι έχει πρόσβαση σε ένα <N1></N1> θέρμανσης το χειμώνα και ένα μαξιλάρι ψύξης το καλοκαίρι.	In addition to providing your hedgehog with enough space, make sure he has access to a heating pad in the winter and a cooling pad in the summer.				
FALSE					
					
Το ερωτικό αυτό γαϊτανάκι, περιβάλλεται από τον σοφό-τρελό Φέστε, τον μονίμως μεθυσμένο <L1>σερ</L1> Τόμπυ, τον αφελή σερ Άντριου, τη δολοπλόκα υπηρέτρια Μαρία, τον ανυπόφορο αρχιθαλαμηπόλο Μαλβόλιο και τον δίδυμο αδελφό της Βιόλα, Σεμπάστιαν, που στο μεταξύ εμφανίζεται για να περιπλέξει ακόμη περισσότερο την κατάσταση.	This amorous merry-go-round, is surrounded by the wise-madman Feste, the permanently drunk servant Tobby, the nave Sir Andrew, the scheming maid Maria, the intolerable butler Malvolio and the twin brother Sebastian, who turns up in the meantime to further complicate things.				
Το ερωτικό αυτό γαϊτανάκι, περιβάλλεται από τον σοφό-τρελό Φέστε, τον μονίμως μεθυσμένο <N1></N1> Τόμπυ, τον αφελή σερ Άντριου, τη δολοπλόκα υπηρέτρια Μαρία, τον ανυπόφορο αρχιθαλαμηπόλο Μαλβόλιο και τον δίδυμο αδελφό της Βιόλα, Σεμπάστιαν, που στο μεταξύ εμφανίζεται για να περιπλέξει ακόμη περισσότερο την κατάσταση.	This amorous merry-go-round, is surrounded by the wise-madman Feste, the permanently drunk servant Tobby, the nave Sir Andrew, the scheming maid Maria, the intolerable butler Malvolio and the twin brother Sebastian, who turns up in the meantime to further complicate things.				
FALSE					
					
Ο <L1>βιότοπος</L1> των εντόμων, χάρη μόνο στις δυνάμεις μιας ιδρυτικής βασίλισσας, μπορεί μερικές φορές να φτάσει το μέγεθος της μισής μπάλας ποδοσφαίρου.	The home of insects, thanks only to the forces of one founding queen, can sometimes reach the size of half a soccer ball.				
Ο <N1></N1> των εντόμων, χάρη μόνο στις δυνάμεις μιας ιδρυτικής βασίλισσας, μπορεί μερικές φορές να φτάσει το μέγεθος της μισής μπάλας ποδοσφαίρου.	The home of insects, thanks only to the forces of one founding queen, can sometimes reach the size of half a soccer ball.				
FALSE					
					
Οι περιπατητές θα έχουν την χαρά να περπατήσουν τα καλντερίμια και τα κρυφά μονοπάτια του Μουρεσίου που μέσα από μηλιές, καστανιές κι ένα πυκνό δάσος οδηγούν σε μια βαθειά κοιλάδα όπου την Άνοιξη δυό ορμητικοί χείμαρροι σχηματίζουν καταρράκτες οι οποίοι δημιουργούν πανέμορφες λιμνούλες ανάμεσα σε τεράστιους βράχους που είναι στολισμένοι με ένα <L1>χαλί</L1> από μούσκλια.	On this early morning hike we leave foot and hoof prints embedded in cobbled mule-tracks or footpaths through apple orchards and chestnut forests to descend into a deep densely forested valley where, in springtime, two tumbling rivers form cascading waterfalls which fill impressive rock pools set in peaceful glens with enormous boulders carpeted in green moss.	κάλυμμα πατώματος χαλί			
Οι περιπατητές θα έχουν την χαρά να περπατήσουν τα καλντερίμια και τα κρυφά μονοπάτια του Μουρεσίου που μέσα από μηλιές, καστανιές κι ένα πυκνό δάσος οδηγούν σε μια βαθειά κοιλάδα όπου την Άνοιξη δυό ορμητικοί χείμαρροι σχηματίζουν καταρράκτες οι οποίοι δημιουργούν πανέμορφες λιμνούλες ανάμεσα σε τεράστιους βράχους που είναι στολισμένοι με ένα <N1>κάλλυμα πατώματος</N1> από μούσκλια.	On this early morning hike we leave foot and hoof prints embedded in cobbled mule-tracks or footpaths through apple orchards and chestnut forests to descend into a deep densely forested valley where, in springtime, two tumbling rivers form cascading waterfalls which fill impressive rock pools set in peaceful glens with enormous boulders carpeted in green moss.				
TRUE					
					
Ο αείμνηστος Πάνος Γεραμάνης έλεγε πως εδώ είχε πιει το καλύτερο <L1>ούζο</L1> στην Ελλάδα.	The late Panos Geramanis said that he had drunk the best ouzo in Greece.				
Ο αείμνηστος Πάνος Γεραμάνης έλεγε πως εδώ είχε πιει το καλύτερο <N1></N1> στην Ελλάδα.	The late Panos Geramanis said that he had drunk the best ouzo in Greece.				
FALSE					
					
Όταν συναντήσεις κάποιον εχθρό, πήδα έξω από το <L1>παπούτσι</L1> και ποδοπάτησέ τον για να κερδίσεις περισσότερα νομίσματα!	When you come across an enemy, jump out of the shoe and stomp them to earn more coins!	παπούτσι υπόδημα			
Όταν συναντήσεις κάποιον εχθρό, πήδα έξω από το <N1>υπόδημα</N1> και ποδοπάτησέ τον για να κερδίσεις περισσότερα νομίσματα!	When you come across an enemy, jump out of the shoe and stomp them to earn more coins!				
TRUE					
					
Τα <L1>μασίφ</L1> δάπεδα παρέχουν πολύ καλή ηχομόνωση, θερμομόνωση, σταθερότητα στην εναλλαγή των καιρικών συνθηκών, μεγάλη διάρκεια ζωής, καθώς επίσης και την δυνατότητα επένδυσης σκάλας για απόλυτη ομοιομορφία.	Massif floors provide very good acoustic insulation, thermal insulation, stability in the exchange of weather conditions, long lifespan, as well as the ability to 'dress' staircases for absolute uniformity.	συμπαγής  ολοστρόγγυλος μασίφ 			
Τα <N1>συμπαγής</N1> δάπεδα παρέχουν πολύ καλή ηχομόνωση, θερμομόνωση, σταθερότητα στην εναλλαγή των καιρικών συνθηκών, μεγάλη διάρκεια ζωής, καθώς επίσης και την δυνατότητα επένδυσης σκάλας για απόλυτη ομοιομορφία.	Massif floors provide very good acoustic insulation, thermal insulation, stability in the exchange of weather conditions, long lifespan, as well as the ability to 'dress' staircases for absolute uniformity.				
TRUE					
					
Με λίγα υλικά όπως φρέσκες φράουλες, φυτική κρέμα, <L1>κουβερτούρα</L1> και μπισκότα, το αποτέλεσμα θα είναι εντυπωσιακό και πεντανόστιμο.	The texture will be a bit different, and you'd want to take into account the sweetness of the fruit.	σοκολάτα ζαχαροπλαστικής κουβερτούρα			
Με λίγα υλικά όπως φρέσκες φράουλες, φυτική κρέμα, <N1>σοκολάτα ζαχαροπλαστικής</N1> και μπισκότα, το αποτέλεσμα θα είναι εντυπωσιακό και πεντανόστιμο.	The texture will be a bit different, and you'd want to take into account the sweetness of the fruit.				
TRUE					
					
Παιδική βιβλιοθήκη με χώρο για βιβλία και κουτιά αποθήκευσης και ντουλάπι σε μοναδικό σχήμα κορώνα, στη <L1>λάκα</L1> της αρεσκείας σας!	Kids bookcase with storage space for books and storage boxes and crown-shaped cabinet, in the colour of your choice!	βαφή χρώμα λάκα 			
Παιδική βιβλιοθήκη με χώρο για βιβλία και κουτιά αποθήκευσης και ντουλάπι σε μοναδικό σχήμα κορώνα, στη <N1>βαφή</N1> της αρεσκείας σας!	Kids bookcase with storage space for books and storage boxes and crown-shaped cabinet, in the colour of your choice!				
TRUE					
					
Θέλουμε και μπορούμε να παρέχουμε, πάντα, ένα άριστο αποτέλεσμα στο <L1>ρεκτιφιέ</L1> μηχανών.	We want and can always provide an excellent result in machine rectification.	ανακατασκευή επισκευή ρεκτιβιέ			
Θέλουμε και μπορούμε να παρέχουμε, πάντα, ένα άριστο αποτέλεσμα στη <N1>επισκευή</N1> μηχανών.	We want and can always provide an excellent result in machine rectification.				
TRUE					
					
