					
					
关于 应用 空间 技术 预防 <L1>和</L1> 对抗 自然灾害 讲习班 报告	APPLICATIONS OF SPACE TECHNIQUES TO PREVENT AND COMBAT NATURAL DISASTERS, ORGANIZED IN COOPERATION				
<L1>古巴</L1> 宪法 由 古巴人 讨论 和 批准	The Constitution of Cuba is discussed and approved by Cubans				
<N1></N1> 宪法 由 古巴人 讨论 和 批准	The Constitution of Cuba is discussed and approved by Cubans				
FALSE					
					
为什么 我们 不像 去年 夏天 我们 在 一起 , 在 你 的 大 的 研究 中 , 蓝色 的 <L1>沙发</L1> 上 , 机密 的 沙发 吗 ?	Why are we not together as we were last summer, in your big study, on the blue sofa, the confidential sofa?	沙发 长沙发椅			
为什么 我们 不像 去年 夏天 我们 在 一起 , 在 你 的 大 的 研究 中 , 蓝色 的 <N1>软榻</N1> 上 , 机密 的 沙发 吗 ?	Why are we not together as we were last summer, in your big study, on the blue sofa, the confidential sofa?				
TRUE					
					
9 種 特定 乘客 不能 <L1>飛</L1>	9 types of specific passengers cannot fly				
9 種 特定 乘客 不能 <N1></N1>	9 types of specific passengers cannot fly				
FALSE					
					
那么 <L1>芝加哥</L1> 男孩 和 他们 的 西方 顾问 在 这 关键 的 时刻 吗 ?	So what did the Chicago Boys and their Western advisers do at this critical moment?				
那么 <N1></N1> 男孩 和 他们 的 西方 顾问 在 这 关键 的 时刻 吗 ?	So what did the Chicago Boys and their Western advisers do at this critical moment?				
FALSE					
					
但是 <L1>宗教</L1> 是 独裁者 使用 的 唯一 的 面具 吗 ?	But is religion the only mask used by dictators?				
但是 <N1></N1> 是 独裁者 使用 的 唯一 的 面具 吗 ?	But is religion the only mask used by dictators?				
FALSE					
					
如果 我 是 免费 的 , 为什么 这些 <L1>酒吧</L1> 和 门 ?	If I am free, why these bars and these doors?	吧台 酒吧 | 酒吧 酒吧间 酒馆 | 小酒馆 酒吧 酒馆			
如果 我 是 免费 的 , 为什么 这些 <N1>酒馆，酒肆，酒家</N1> 和 门 ?	If I am free, why these bars and these doors?	酒馆，酒肆，酒家			
TRUE					
					
他会 在 <L1>巴黎</L1> 受到 审判 的 .	He will be judged at Paris.				
他会 在 <N1></N1> 受到 审判 的 .	He will be judged at Paris.				
FALSE					
					
正如 将 在 这 本书 后面 所 显示 的 ,   <L1>埃及</L1> 文本 明确指出 ,   埃及 国王 只有 在 以下 情况 下 才能 在 天堂 拥有 自己 的 位置 :	As will be shown later in this book, Egyptian texts clearly state that the Egyptian king can only have his place in Heaven if he:				
正如 将 在 这 本书 后面 所 显示 的 ,   <N1></N1> 文本 明确指出 ,   埃及 国王 只有 在 以下 情况 下 才能 在 天堂 拥有 自己 的 位置 :	As will be shown later in this book, Egyptian texts clearly state that the Egyptian king can only have his place in Heaven if he:				
FALSE					
					
我 曾经 有 一个 妹妹 我 用来 保持 房子 ( 穷 , 亲爱 的 <L1>莎拉</L1> !	I had a sister once who used to keep house for me (poor, dear Sarah!				
我 曾经 有 一个 妹妹 我 用来 保持 房子 ( 穷 , 亲爱 的 <N1></N1> !	I had a sister once who used to keep house for me (poor, dear Sarah!				
FALSE					
					
圣诞快乐 , 你 的 航班 <L1>取消</L1> 了	Merry Christmas, Your Flight is Canceled	取消 撤消 | 取消 召回 撤消 | 取消 废止 废除 撤回 撤消 逆转 颠倒 | 取消 废除 撤消 | 使作废 使无效 取消 废除 | 取消 废止 消灭 革除 | 使无效 取消 宣告无效 撤消 | 取消 废止 撤回			
圣诞快乐 , 你 的 航班 <N1></N1> 了	Merry Christmas, Your Flight is Canceled				
FALSE					
					
15 . <L1>莫斯科</L1> 是否 掩盖 了 许多 太空 计划 成员 的 死亡 ?	Did Moscow cover up the deaths of numerous members of their space programme?				
15 . <N1></N1> 是否 掩盖 了 许多 太空 计划 成员 的 死亡 ?	Did Moscow cover up the deaths of numerous members of their space programme?				
FALSE					
					
谁 会 愿意 在 <L1>夏威夷</L1> 一周 工作 91 个 小时 ?	Who wants to work 91 hours a week in Hawaii?				
谁 会 愿意 在 <N1></N1> 一周 工作 91 个 小时 ?	Who wants to work 91 hours a week in Hawaii?				
FALSE					
					
<L1>康拉德</L1> 为什么 给 你 我 的 戒指 吗 ?	Why did Conrad give you my ring?				
<N1></N1> 为什么 给 你 我 的 戒指 吗 ?	Why did Conrad give you my ring?				
FALSE					
					
这 不是 真相 , 他 站 在 相反 的 你 , <L1>路易</L1> ?	Is it not the truth that he stands opposite you, Louis?				
这 不是 真相 , 他 站 在 相反 的 你 , <N1></N1> ?	Is it not the truth that he stands opposite you, Louis?				
FALSE					
					
5.02 . 8   --   <L1>穆罕默德</L1> 怎样 进入 犹太 学校	5.02.8 -- How Muhammad went into a Jewish school				
5.02 . 8   --   <N1></N1> 怎样 进入 犹太 学校	5.02.8 -- How Muhammad went into a Jewish school				
FALSE					
					
我 對 你 和 <L1>哈桑</L1> 不好 嗎 ?	Haven’t I been good to you and Hassan?				
我 對 你 和 <N1></N1> 不好 嗎 ?	Haven’t I been good to you and Hassan?				
FALSE					
					
在 这里 , 看着 我 , 我 是 <L1>查理</L1> , 儿子 你 写 的 书 吗 ?	Here, look at me, I’m Charlie, the son you wrote off the books?				
在 这里 , 看着 我 , 我 是 <N1></N1> , 儿子 你 写 的 书 吗 ?	Here, look at me, I’m Charlie, the son you wrote off the books?				
FALSE					
					
这是 一个 <L1>理由</L1> 足以 让 他 不要 把 他 的 眼睛 , 因为 她 有点 年轻 吗 ?	Was it a reason sufficient for him not to cast his eyes on you, because she was somewhat younger?	借口 正当的理由 理由 辩护			
这是 一个 <N1>原因，缘由</N1> 足以 让 他 不要 把 他 的 眼睛 , 因为 她 有点 年轻 吗 ?	Was it a reason sufficient for him not to cast his eyes on you, because she was somewhat younger?				
TRUE					
					
第 6 集   腾纸 大神 的 求生 <L1>路</L1>	The outpouring of the 6th Vial of God’s judgment.	路 路径 路线 轨道 途径 道路 | 公路 路 路径 路线 道路 马路 | 小径 小道 旅程 线 航线 行程 路 路径 路线 轨道 途径 道路 | 生活方式 路 路线 路途 轨道 途径 道路			
第 6 集   腾纸 大神 的 求生 <N1></N1>	The outpouring of the 6th Vial of God’s judgment.				
FALSE					
					
特德 <L1>肯尼迪</L1> 和 所有 医疗保健 的 终结	Ted Kennedy and the End of All Health Care				
特德 <N1></N1> 和 所有 医疗保健 的 终结	Ted Kennedy and the End of All Health Care				
FALSE					
					
你 知道 <L1>安妮</L1> 的 行为 是 可怕 的 , 然而 , 你 把 她 的 一部分 !	You know that Anne’s behavior was dreadful, and yet you take her part!				
你 知道 <N1></N1> 的 行为 是 可怕 的 , 然而 , 你 把 她 的 一部分 !	You know that Anne’s behavior was dreadful, and yet you take her part!				
FALSE					
					
为此 ,   巴塞罗那 宣言 及其 工作 <L1>方案</L1> 强调 :	To this end, the Barcelona Declaration and its work programme emphasise:	事业 任务 工作 方案 计划 项目 | 方案 解法 | 习俗 准则 惯例 方案 标准			
为此 ,   巴塞罗那 宣言 及其 工作 <N1></N1> 强调 :	To this end, the Barcelona Declaration and its work programme emphasise:				
FALSE					
					
清高 的 <L1>安拉</L1> 说 : 的 子孙 啊 !	Here is the verse:  O Children of Adam!	安拉 真主 阿拉			
清高 的 <N1>真主</N1> 说 : 的 子孙 啊 !	Here is the verse:  O Children of Adam!				
TRUE					
					
你 看到 那个 男孩 <L1>吉米</L1> 搬到 他 之前 , 亚瑟 ?	Did you see the boy before Jimmy moved him, Arthur?				
你 看到 那个 男孩 <N1></N1> 搬到 他 之前 , 亚瑟 ?	Did you see the boy before Jimmy moved him, Arthur?				
FALSE					
					
真的 是 太 容易 相信 , 我们 只是 选择 了 正确 的 从 数十亿 的 甲板 <L1>卡</L1> 吗 ?	Is it really so much easier to believe that we simply chose the right card from a deck of billions?	卡 卡路里 | 卡 卡片 纸牌			
真的 是 太 容易 相信 , 我们 只是 选择 了 正确 的 从 数十亿 的 甲板 <N1>纸牌</N1> 吗 ?	Is it really so much easier to believe that we simply chose the right card from a deck of billions?				
TRUE					
					
<L1>露西</L1> 小姐 , 你 和 你 的 朋友 想 在 车里 等 吗 ?	Miss Lucy, you and your friend want to wait in the car?”				
<N1></N1> 小姐 , 你 和 你 的 朋友 想 在 车里 等 吗 ?	Miss Lucy, you and your friend want to wait in the car?”				
FALSE					
					
他 是 我忠實 的 仆人 <L1>約翰</L1> .	he is my faithful servant John.’				
他 是 我忠實 的 仆人 <N1></N1> .	he is my faithful servant John.’				
FALSE					
					
阿塞拜疆 希望 从 中国 到 欧洲 的 过境 运输 中 <L1>占</L1> 很大 比例 [ 更新 ]	Azerbaijan hopes for significant share of transit traffic from China to Europe [UPDATE]	占 占据 需要			
阿塞拜疆 希望 从 中国 到 欧洲 的 过境 运输 中 <N1></N1> 很大 比例 [ 更新 ]	Azerbaijan hopes for significant share of transit traffic from China to Europe [UPDATE]				
FALSE					
					
你 真的 喜欢 45 分钟 <L1>咖啡</L1> 面试 的 约会 过程 吗 ?	Do you really like the dating process with 45 minute coffee interviews?				
你 真的 喜欢 45 分钟 <N1>咖啡</N1> 面试 的 约会 过程 吗 ?	Do you really like the dating process with 45 minute coffee interviews?				
TRUE					
					
58 人 <L1>晚餐</L1> , 这是 他们 期望 的 吗 ?	Dinner for fifty-eight, is that what they expect?				
58 人 <N1></N1> , 这是 他们 期望 的 吗 ?	Dinner for fifty-eight, is that what they expect?				
FALSE					
					
如果 我们 想要 赢得 反对 激进 伊斯兰教 的 战争   -   而且 在我看来 它 应该 是 西方 和 <L1>穆斯林</L1> 世界 的 头号 优先 事项   -   我们 需要 称之为 它 的 本质 ...	If we want to win the war against radical Islam -- and in my view it should be the number one priority of the Western and Muslim worlds -- we need to call it what it is.				
如果 我们 想要 赢得 反对 激进 伊斯兰教 的 战争   -   而且 在我看来 它 应该 是 西方 和 <N1>回教徒</N1> 世界 的 头号 优先 事项   -   我们 需要 称之为 它 的 本质 ...	If we want to win the war against radical Islam -- and in my view it should be the number one priority of the Western and Muslim worlds -- we need to call it what it is.				
TRUE					
					
如果 他 可以 在 <L1>扑克</L1> 界 改变 点 什么 :   也 是 改变 自己 的 年纪	If he could change anything in poker: ...he would also change his age				
如果 他 可以 在 <N1>纸牌</N1> 界 改变 点 什么 :   也 是 改变 自己 的 年纪	If he could change anything in poker: ...he would also change his age				
TRUE					
					
<L1>布什</L1> 正在 奖励 恐怖主义	Bush is Rewarding Terrorism				
<N1></N1> 正在 奖励 恐怖主义	Bush is Rewarding Terrorism				
FALSE					
					
你 知道 在 <L1>英格蘭</L1> 有 一個 與 搞笑 面孔 相關 的 傳統 嗎 ?	Did you know that in England there is a tradition related to funny faces?				
你 知道 在 <N1></N1> 有 一個 與 搞笑 面孔 相關 的 傳統 嗎 ?	Did you know that in England there is a tradition related to funny faces?				
FALSE					
					
是 恶魔 的 赠礼   是 撒旦 的 魔力   是 <L1>巫</L1>	This is Satan’s trick, Satan’s power.				
是 恶魔 的 赠礼   是 撒旦 的 魔力   是 <N1></N1>	This is Satan’s trick, Satan’s power.				
FALSE					
					
天人 之 楽 来自 千年 <L1>森</L1>	God’s people of the Millenium.				
天人 之 楽 来自 千年 <N1></N1>	God’s people of the Millenium.				
FALSE					
					
快餐 威胁 <L1>意大利</L1> 的 健康 食物 和 传统   ( 0 )	Fast food threatens Italian healthy eating and traditions (0)				
快餐 威胁 <N1></N1> 的 健康 食物 和 传统   ( 0 )	Fast food threatens Italian healthy eating and traditions (0)				
FALSE					
					
希望 我们 可以 得到 它 在 <L1>悉尼</L1> !	I just wish we could get it in Sydney!				
希望 我们 可以 得到 它 在 <N1>雪梨</N1> !	I just wish we could get it in Sydney!				
TRUE					
					
10 .   洛佩茲 的 個 人關 係 已經 吸引 了 全世界 媒體 的 關注 ;   她 曾 結婚 <L1>三次</L1> .	Lopez's personal relationships have attracted worldwide media attention; she has been married three times.				
10 .   洛佩茲 的 個 人關 係 已經 吸引 了 全世界 媒體 的 關注 ;   她 曾 結婚 <N1></N1> .	Lopez's personal relationships have attracted worldwide media attention; she has been married three times.				
FALSE					
					
<L1>摩西</L1> 承担 上帝 的 使命	Moses followed God's command.				
<N1></N1> 承担 上帝 的 使命	Moses followed God's command.				
FALSE					
					
神仙 的 含义 及神 和 <L1>仙</L1> 的 区别 ?	What’s the difference between Allah and Satan ?				
神仙 的 含义 及神 和 <N1></N1> 的 区别 ?	What’s the difference between Allah and Satan ?				
FALSE					
					
但 假设 他们 打击 <L1>帕特里克</L1> ?	But suppose they hit Patrick?				
但 假设 他们 打击 <N1></N1> ?	But suppose they hit Patrick?				
FALSE					
					
<L1>迪拜</L1> 丝绸之路 战略 包括 9 项 倡议 和 33 个 项目	The Dubai Silk Road strategy comprises 9 initiatives and 33 projects				
<N1></N1> 丝绸之路 战略 包括 9 项 倡议 和 33 个 项目	The Dubai Silk Road strategy comprises 9 initiatives and 33 projects				
FALSE					
					
<L1>哈佛</L1> 设计 杂志 的 第 47 届 问题 是 再次 呼吁 ...	The 47th issue of Harvard Design Magazine is a renewed call to…				
<N1></N1> 设计 杂志 的 第 47 届 问题 是 再次 呼吁 ...	The 47th issue of Harvard Design Magazine is a renewed call to…				
FALSE					
					
094   單選題   柴油 <L1>引擎</L1> 康敏式 (	C nuclear magnetic resonance (	发动机 引擎 电动机 马达 | 发动机 引擎 马达			
094   單選題   柴油 <N1>发动机</N1> 康敏式 (	C nuclear magnetic resonance (				
TRUE					
					
<L1>希特勒</L1> 会 允许 他 保持中立 吗 ?	But would Hitler let him remain neutral?				
<N1></N1> 会 允许 他 保持中立 吗 ?	But would Hitler let him remain neutral?				
FALSE					
					
为什么 六位 艾滋病 专家 刚刚 从 <L1>特朗普</L1> 艾滋病 咨询 委员会 辞职	Why Six HIV Experts Just Resigned From Trump's AIDS Advisory Council				
为什么 六位 艾滋病 专家 刚刚 从 <N1></N1> 艾滋病 咨询 委员会 辞职	Why Six HIV Experts Just Resigned From Trump's AIDS Advisory Council				
FALSE					
					
2020 年 葡萄牙 将 拥有 19 家新 的 <L1>私立</L1> 医院	Portugal will have 19 new private hospitals				
2020 年 葡萄牙 将 拥有 19 家新 的 <N1>民办</N1> 医院	Portugal will have 19 new private hospitals				
TRUE					
					
不 总是 一样 的 , 由主 <L1>哈利</L1> !	Not always the same thing, by the Lord Harry!				
不 总是 一样 的 , 由主 <N1></N1> !	Not always the same thing, by the Lord Harry!				
FALSE					
					
他会 责怪 <L1>草</L1> 的 长度 吗 ?	Will he blame the length of the grass?	牧草 禾本科植物 草 青草			
他会 责怪 <N1></N1> 的 长度 吗 ?	Will he blame the length of the grass?				
FALSE					
					
你 还 记得 我们 和 <L1>尼古拉斯</L1> , 我们 三个 人 , 晚饭 后 在 客厅 里 聊过 ?	Do you remember how we and Nicholas, all three of us, talked in the sitting room after supper?				
你 还 记得 我们 和 <N1></N1> , 我们 三个 人 , 晚饭 后 在 客厅 里 聊过 ?	Do you remember how we and Nicholas, all three of us, talked in the sitting room after supper?				
FALSE					
					
為 我 照顧 <L1>田中</L1> 先生 !	Take care of Mr. Tanaka for me!				
為 我 照顧 <N1></N1> 先生 !	Take care of Mr. Tanaka for me!				
FALSE					
					
两种 态度 , <L1>多米尼克</L1> , 你 所说 的 真正 的 人道主义 吗 ?	Of the two possible attitudes, Dominique, which would you call the truly humanitarian one?				
两种 态度 , <N1></N1> , 你 所说 的 真正 的 人道主义 吗 ?	Of the two possible attitudes, Dominique, which would you call the truly humanitarian one?				
FALSE					
					
虽然 瓦莱里 娅 有 一个 非常 繁忙 的 日程 与 链接 船员 和 <L1>西蒙</L1> ...	Although Valeria has a very busy schedule with Link Crew and Simon...				
虽然 瓦莱里 娅 有 一个 非常 繁忙 的 日程 与 链接 船员 和 <N1></N1> ...	Although Valeria has a very busy schedule with Link Crew and Simon...				
FALSE					
					
<L1>米林</L1> 的 诱惑 (	missionary atmosphere (				
<N1></N1> 的 诱惑 (	missionary atmosphere (				
FALSE					
					
男人 有 一个 平行 的 过程 , 但 这 是 二进制 : 他 有 <L1>啤酒</L1> 吗 ?	Men have a parallel process, but it's binary: Does he have beer?				
男人 有 一个 平行 的 过程 , 但 这 是 二进制 : 他 有 <N1></N1> 吗 ?	Men have a parallel process, but it's binary: Does he have beer?				
FALSE					
					
为什么 我们 认为 <L1>霍金</L1> 和 公司 是 正确 的 , 和 我们 能 做些 什么 呢 ?	Why do I think Hawking and company are right, and what can we do about it?				
为什么 我们 认为 <N1></N1> 和 公司 是 正确 的 , 和 我们 能 做些 什么 呢 ?	Why do I think Hawking and company are right, and what can we do about it?				
FALSE					
					
你 认为 他 想 <L1>通勤</L1> 90 英里 去 上班 ?	You think he WANTS to commute 90 miles to work?	乘车上下班 通勤			
你 认为 他 想 <N1></N1> 90 英里 去 上班 ?	You think he WANTS to commute 90 miles to work?				
FALSE					
					
而 他们 最 年轻 的   -   <L1>皮</L1> 尤 研究 中心 最近 它们 定义 为 大家   1997 年 后 出生 .	And they're the youngest — Pew Research Center defined them recently as everyone born after 1997.	外皮 皮 皮肤 | 兽皮 毛皮 皮 | 毛皮 皮 皮肤 禽兽的外皮 | 果皮 皮 | 皮 皮革			
而 他们 最 年轻 的   -   <N1></N1> 尤 研究 中心 最近 它们 定义 为 大家   1997 年 后 出生 .	And they're the youngest — Pew Research Center defined them recently as everyone born after 1997.				
FALSE					
					
为什么 <L1>立陶宛</L1> 会 成为 金融机构 通往 欧洲 的 钥匙	Why Lithuania will become the key to financial institutions in Europe				
为什么 <N1></N1> 会 成为 金融机构 通往 欧洲 的 钥匙	Why Lithuania will become the key to financial institutions in Europe				
FALSE					
					
<L1>安迪</L1> :   但 在 周三 ,   你 得到 被控 在 过去 的 周六 和 周日 ?	Andy: But on Wednesday, you get charged for the past Saturday and Sunday?				
<N1></N1> :   但 在 周三 ,   你 得到 被控 在 过去 的 周六 和 周日 ?	Andy: But on Wednesday, you get charged for the past Saturday and Sunday?				
FALSE					
					
我 的 <L1>拉布拉多</L1> 犬 在 吃 家具 !	My Labrador Is Eating The Furniture!				
我 的 <N1></N1> 犬 在 吃 家具 !	My Labrador Is Eating The Furniture!				
FALSE					
					
4 不 做 的 事情 如果 你 想 平衡 你 的 <L1>荷尔蒙</L1>	4 Things NOT to do if you want to balance your hormones				
4 不 做 的 事情 如果 你 想 平衡 你 的 <N1>激素</N1>	4 Things NOT to do if you want to balance your hormones				
TRUE					
					
我们 真的 需要 另 一部 关于 波士顿 <L1>马拉松</L1> 爆炸事件 的 电影 吗	Do we really need another film about the Boston Marathon bombing?				
我们 真的 需要 另 一部 关于 波士顿 <N1></N1> 爆炸事件 的 电影 吗	Do we really need another film about the Boston Marathon bombing?				
FALSE					
					
你 知道 吗 , 我 开始 感觉 有点像 一个 陌生人 在 <L1>阿</L1> 冯丽 现在 ?	Do you know, I’m beginning to feel a little bit like a stranger in Avonlea now?				
你 知道 吗 , 我 开始 感觉 有点像 一个 陌生人 在 <N1></N1> 冯丽 现在 ?	Do you know, I’m beginning to feel a little bit like a stranger in Avonlea now?				
FALSE					
					
<L1>弗朗西斯</L1> 卡 觉得 有点 快 跟 他 跑 开 了 一个 周末 , 但 她 判断 是 谁 ?	Francesca thought it was a little quick to run off with him for a weekend, but who was she to judge?				
<N1></N1> 卡 觉得 有点 快 跟 他 跑 开 了 一个 周末 , 但 她 判断 是 谁 ?	Francesca thought it was a little quick to run off with him for a weekend, but who was she to judge?				
FALSE					
					
<L1>哈里</L1> 王子 说 他 正在 寻找 爱情	Prince Harry says he's looking for love				
<N1></N1> 王子 说 他 正在 寻找 爱情	Prince Harry says he's looking for love				
FALSE					
					
我 是 该 对 自己 说 : 你 真正 的 生活 是 在 <L1>捷克斯洛伐克</L1> , 在 你 的 老 同胞 中间 ?	Do I say to myself, ''Your real life is in Czechoslovakia, among your old countrymen''?				
我 是 该 对 自己 说 : 你 真正 的 生活 是 在 <N1></N1> , 在 你 的 老 同胞 中间 ?	Do I say to myself, ''Your real life is in Czechoslovakia, among your old countrymen''?				
FALSE					
					
在 秘密 实验室 , <L1>摩根</L1> 教授 已经 创建 了 一个 新 的 突变 类型 ,	In the secret laboratory, Professor Morgan has created a new type of mutation,	摩根 摩肯			
在 秘密 实验室 , <N1></N1> 教授 已经 创建 了 一个 新 的 突变 类型 ,	In the secret laboratory, Professor Morgan has created a new type of mutation,				
FALSE					
					
為 什麼 是 時候 結束 對 成本 和 人道 <L1>主義</L1> 原因 的 死刑	Why It's Time To End The Death Penalty For Cost And Humanitarian Reasons				
為 什麼 是 時候 結束 對 成本 和 人道 <N1></N1> 原因 的 死刑	Why It's Time To End The Death Penalty For Cost And Humanitarian Reasons				
FALSE					
					
今天 的 肉 是 明天 的 <L1>三明治</L1>	Today’s Meat is Tomorrow’s Sandwich				
今天 的 肉 是 明天 的 <N1>三明治</N1>	Today’s Meat is Tomorrow’s Sandwich				
TRUE					
					
<L1>巴林</L1> 和 利比亚 暴露 了 英国 外交政策 的 两个 面孔	Bahrain and Libya expose the two faces of Britain’s foreign policy				
<N1></N1> 和 利比亚 暴露 了 英国 外交政策 的 两个 面孔	Bahrain and Libya expose the two faces of Britain’s foreign policy				
FALSE					
					
<L1>路易斯</L1> 不 记得 她 在 祷告 中 所说 的话 .	Louis doesn’t remember what she said in her prayer.				
<N1></N1> 不 记得 她 在 祷告 中 所说 的话 .	Louis doesn’t remember what she said in her prayer.				
FALSE					
					
<L1>易卜拉欣</L1> * 叔叔 和 古兰经 的 花	M. Ibrahim and the Flowers of the Koran				
<N1></N1> * 叔叔 和 古兰经 的 花	M. Ibrahim and the Flowers of the Koran				
FALSE					
					
蓮心園 的 <L1>便當</L1>   是 阿嬷 的 生活 的 支柱	Worship was a central part of Noah’s life.				
蓮心園 的 <N1>盒饭</N1>   是 阿嬷 的 生活 的 支柱	Worship was a central part of Noah’s life.				
TRUE					
					
似乎 每 一个 优秀 的 技术 <L1>极客</L1> 有 一个 除了 我 !	Seems every good tech geek has one except me!				
似乎 每 一个 优秀 的 技术 <N1>达人</N1> 有 一个 除了 我 !	Seems every good tech geek has one except me!				
TRUE					
					
差别 在于 99.9% 的 异性恋 男性 讨厌 <L1>芭蕾</L1>	The difference is 99.9% of heterosexual men hate the ballet				
差别 在于 99.9% 的 异性恋 男性 讨厌 <N1></N1>	The difference is 99.9% of heterosexual men hate the ballet				
FALSE					
					
如果 奇异 的 生命 形式 的 存在 , 他们 问 , 他们 <L1>藏</L1> 在 哪里 ?	If bizarre forms of life exist, they asked, where are they hiding?	藏 躲 躲藏 隐藏 | 藏 躲藏 隐匿 隐藏 | 藏 隐匿 隐藏			
如果 奇异 的 生命 形式 的 存在 , 他们 问 , 他们 <N1></N1> 在 哪里 ?	If bizarre forms of life exist, they asked, where are they hiding?				
FALSE					
					
为什么 瓦努阿图 的 一个 部落 相信 他们 的 神 <L1>菲利普</L1> 亲王 会 去 拜访	Why a tribe in Vanuatu believes their god Prince Philip is set to visit				
为什么 瓦努阿图 的 一个 部落 相信 他们 的 神 <N1></N1> 亲王 会 去 拜访	Why a tribe in Vanuatu believes their god Prince Philip is set to visit				
FALSE					
					
12 次 <L1>希拉里</L1> 克林顿 让 我们 确切 地 知道 她 是 谁	12 Times Hillary Clinton Let Us Know Exactly Who She Is				
12 次 <N1></N1> 克林顿 让 我们 确切 地 知道 她 是 谁	12 Times Hillary Clinton Let Us Know Exactly Who She Is				
FALSE					
					
一些 媒体 也 开始 报道 ( 我 仍然 喜欢 那种 <L1>冰淇淋</L1> ) :	Some media coverage started up too (I still like that kind of ice cream):	冰淇淋 冰糕 雪糕			
一些 媒体 也 开始 报道 ( 我 仍然 喜欢 那种 <N1>雪糕，冰糕</N1> ) :	Some media coverage started up too (I still like that kind of ice cream):				
TRUE					
					
<L1>埃文</L1> , 完全 理解 并 欣赏 您 的 上 一个 视频 !	Evan, totally understood and enjoyed your last video!				
<N1></N1> , 完全 理解 并 欣赏 您 的 上 一个 视频 !	Evan, totally understood and enjoyed your last video!				
FALSE					
					
父母 不得不 想 方法 買 一輛 自行 車 , 但 <L1>麥克</L1> 博士 是 如何 知道 的 仍然 是 一個 謎 !	The parents had to find a way to buy a bicycle, but how Dr. Mac knew about it remains a mystery!				
父母 不得不 想 方法 買 一輛 自行 車 , 但 <N1></N1> 博士 是 如何 知道 的 仍然 是 一個 謎 !	The parents had to find a way to buy a bicycle, but how Dr. Mac knew about it remains a mystery!				
FALSE					
					
爆炸 在 <L1>塞浦路斯</L1>   -   摧毁 大型 电力	Explosions in Cyprus - destroyed large power				
爆炸 在 <N1></N1>   -   摧毁 大型 电力	Explosions in Cyprus - destroyed large power				
FALSE					
					
哈 <L1>瓦斯</L1> 承认 埃及 的 古代 遗产 正 处于 危险 之中	Hawass admits Egypt's ancient heritage is in danger	毒气 气 气体 汽油 瓦斯			
哈 <N1></N1> 承认 埃及 的 古代 遗产 正 处于 危险 之中	Hawass admits Egypt's ancient heritage is in danger				
FALSE					
					
它 没有 解释 为什么 这样 一 本书 可能 留在 <L1>布拉格</L1> 大使馆	It did not explain why such a book might have been left at the embassy in Prague.				
它 没有 解释 为什么 这样 一 本书 可能 留在 <N1></N1> 大使馆	It did not explain why such a book might have been left at the embassy in Prague.				
FALSE					
					
說 他們 如何 阻止 了 我們 的 <L1>喬</L1>	Of how they stopped our Joe				
說 他們 如何 阻止 了 我們 的 <N1></N1>	Of how they stopped our Joe				
FALSE					
					
沒關 係 的 , <L1>瑪莉</L1> , 當你 自由 時	Nothing matters, Mary, when you're free,				
沒關 係 的 , <N1></N1> , 當你 自由 時	Nothing matters, Mary, when you're free,				
FALSE					
					
如果 <L1>米勒</L1> 还 活着 ?	Parts 2 and 3 were never harmonised.				
如果 <N1></N1> 还 活着 ?	Parts 2 and 3 were never harmonised.				
FALSE					
					
一项 关于 <L1>瑜伽</L1> 的 新 研究 可能 有 一些 答案	So the following is illegal: minute+1 = hour;.				
一项 关于 <N1>柔术</N1> 的 新 研究 可能 有 一些 答案	So the following is illegal: minute+1 = hour;.				
TRUE					
					
<L1>京都</L1> 机制 ( 也 称 灵活性 机制 )	1959, this  yes  poster failed to convince voters.				
<N1></N1> 机制 ( 也 称 灵活性 机制 )	1959, this  yes  poster failed to convince voters.				
FALSE					
					
我 想 这 就是 为什么 你 会 看到 缺乏 一些 非常 大 的 现实 / 无 脚本 <L1>系列</L1>	Sharing with one another, hugging one another.	系列 范围			
我 想 这 就是 为什么 你 会 看到 缺乏 一些 非常 大 的 现实 / 无 脚本 <N1>范围</N1>	Sharing with one another, hugging one another.				
TRUE					
					
如果 我 没有 这样 做 , 谁 会 把 我 的 <L1>史密斯</L1> 在 我 理解 吗 ?	By God’s Grace, Hold Fast the Truth.				
如果 我 没有 这样 做 , 谁 会 把 我 的 <N1></N1> 在 我 理解 吗 ?	By God’s Grace, Hold Fast the Truth.				
FALSE					
					
你 想 学习 如何 编写 自己 的 <L1>酷</L1> 和 令人兴奋 的 视频 游戏 吗 ?	The top five battery manufacturers would continue to grow and become the major suppliers.				
你 想 学习 如何 编写 自己 的 <N1></N1> 和 令人兴奋 的 视频 游戏 吗 ?	The top five battery manufacturers would continue to grow and become the major suppliers.				
FALSE					
					
香港 客游 <L1>曼谷</L1> (	And you will — you’ve seen a big difference already in Minnesota.				
香港 客游 <N1></N1> (	And you will — you’ve seen a big difference already in Minnesota.				
FALSE					
					
<L1>普京</L1> 和 这个 国家 是 不相容 的	Such changes in the Arctic space no longer surprise anyone.				
<N1></N1> 和 这个 国家 是 不相容 的	Such changes in the Arctic space no longer surprise anyone.				
FALSE					
					
<L1>比特</L1> 币 的 由 中本聪 (	The question is how (or even whether) we overcome the tendency to procrastinate, and if we can find focus.				
<N1></N1> 币 的 由 中本聪 (	The question is how (or even whether) we overcome the tendency to procrastinate, and if we can find focus.				
FALSE					
					
